generation,E_at,E_at_percentile,zvpe,zvpe_percentile,e_gap,e_gap_percentile,C_v,C_v_percentile,SMILES,coordList,functionalization
1,1217.320061,0.0,0.103211,8.0,0.229700,40.0,24.268000,0.0,CC1=C(N)NN=N1,,[]
1,1310.743672,2.0,0.077297,0.0,0.190200,4.0,26.322000,4.0,O=C(C#C)N1C=CN=N1,,[]
1,1350.033923,4.0,0.101295,4.0,0.162200,0.0,28.325000,20.0,CNC1=NN(C=O)N=N1,,[]
1,1380.487585,8.0,0.096143,2.0,0.178600,2.0,25.675000,2.0,OC1=CN(C=O)C=C1,,[]
2,1110.064260,0.0,0.066366,1.3,0.154300,2.0,23.339000,5.3,O=N(=O)C1=CN=CN=N1,,[]
2,1119.755516,0.7,0.097247,11.3,0.283100,86.0,21.345000,1.3,NC(=O)N1CC1,,[]
2,1178.565704,1.3,0.075479,2.7,0.227000,57.3,19.678000,0.0,O1C=CN2C=NN=C12,,[]
2,1212.818308,2.7,0.065593,0.7,0.193300,20.7,24.951000,8.7,OC1=NC(F)=CN=C1F,,[]
2,1224.388328,4.0,0.072686,2.0,0.201700,26.0,22.352000,3.3,FC1=COC=CC1=O,,[]
2,1234.141080,4.7,0.093496,6.7,0.194300,21.3,21.137000,0.7,NC1=CN=CN=C1,,[]
2,1294.035605,8.0,0.065564,0.0,0.197700,24.7,26.292000,18.0,C#CC1=CC(=NO1)C#N,,[]
2,1393.605670,20.7,0.093664,7.3,0.153300,1.3,23.101000,4.7,N1N=NC=C2N=CC=C12,,[]
2,1478.032678,32.7,0.102672,26.0,0.148600,0.7,28.327000,36.7,NC1=NC=CC(=O)C=N1,,[]
2,1586.759362,60.0,0.125551,67.3,0.147300,0.0,30.613000,62.0,CN=C1NN=C(O)C=C1,,[]
3,933.869012,0.0,0.066433,8.0,0.219500,53.2,19.722000,3.2,COC1=NON=N1,,[]
3,942.772116,0.4,0.079595,21.2,0.254200,79.6,16.197000,0.4,O=CN1CC1,,[]
3,949.027131,0.8,0.059690,1.2,0.282100,89.6,21.363000,6.4,OC(C#C)C#N,,[]
3,956.906767,1.2,0.081779,22.4,0.272000,85.6,14.168000,0.0,C1CN=CO1,,[]
3,979.719874,1.6,0.057617,0.8,0.225100,60.8,16.669000,0.8,FC1=NC=NC=N1,,[]
3,1002.174673,2.0,0.059717,1.6,0.172300,12.8,23.285000,12.8,N=C1NC(=O)N=NO1,,[]
3,1041.414723,2.4,0.063245,3.6,0.214400,50.8,18.757000,2.0,O1N=CN2C=NN=C12,,[]
3,1070.146499,4.0,0.067056,8.8,0.194000,26.8,19.145000,2.4,O=CC1=NOC=C1,,[]
3,1073.449709,4.4,0.037484,0.0,0.174400,14.0,23.324000,13.2,N#CC#CC#CC#N,,[]
3,1088.221282,4.8,0.060107,2.0,0.187500,20.8,21.078000,5.2,FC1=NN=C(F)C=C1,,[]
3,1091.232073,5.6,0.063859,4.4,0.150100,2.4,23.724000,14.4,CC(=O)C(=O)C#N,,[]
3,1107.653368,6.4,0.060824,2.4,0.201500,34.8,20.724000,4.4,FC1=CN=C(F)C=N1,,[]
3,1109.513934,6.8,0.068690,9.6,0.196600,29.6,18.589000,1.6,O=C1OC=NC=C1,,[]
3,1110.064260,7.2,0.066366,7.6,0.154300,4.0,23.339000,13.6,O=N(=O)C1=CN=CN=N1,,[]
3,1252.956952,21.2,0.086211,26.8,0.170100,12.0,23.157000,12.0,FC1=NC(=N)NC=C1,,[]
3,1300.797019,30.8,0.083137,23.6,0.141100,0.8,25.023000,19.6,OC1C=CC(=O)C1=O,,[]
3,1369.789803,42.4,0.079405,20.8,0.135400,0.4,23.628000,14.0,O=C1C=CC2=C1ON=C2,,[]
3,1380.152495,46.4,0.103025,54.8,0.132200,0.0,27.550000,45.2,NC1=[NH+]C2=C(C1)N=N[N-]2,,[]
3,1393.605670,48.8,0.093664,36.8,0.153300,3.6,23.101000,11.6,N1N=NC=C2N=CC=C12,,[]
4,792.747151,0.0,0.041330,0.6,0.151400,5.4,19.012000,4.3,O=C1C=NON=N1,,[]
4,942.772116,0.9,0.079595,30.0,0.254200,80.0,16.197000,1.1,O=CN1CC1,,[]
4,952.090005,1.4,0.062716,4.9,0.247800,77.4,15.897000,0.9,O=C1CN=CO1,,[]
4,956.906767,2.0,0.081779,31.7,0.272000,86.0,14.168000,0.0,C1CN=CO1,,[]
4,979.719874,3.4,0.057617,2.9,0.225100,64.0,16.669000,1.4,FC1=NC=NC=N1,,[]
4,993.370088,4.6,0.034807,0.0,0.155000,6.9,23.797000,21.4,O=C(C#N)C(=O)C#N,,[]
4,1041.414723,6.3,0.063245,5.7,0.214400,54.6,18.757000,3.4,O1N=CN2C=NN=C12,,[]
4,1046.659447,6.6,0.064746,7.7,0.126500,0.3,23.759000,21.1,NC(=O)C(=O)C=O,,[]
4,1073.449709,8.9,0.037484,0.3,0.174400,17.7,23.324000,20.0,N#CC#CC#CC#N,,[]
4,1085.508559,9.4,0.068855,14.3,0.206900,46.0,18.010000,2.3,FC1=CN=CN=C1,,[]
4,1091.232073,10.3,0.063859,6.6,0.150100,4.6,23.724000,20.9,CC(=O)C(=O)C#N,,[]
4,1109.513934,11.4,0.068690,14.0,0.196600,35.4,18.589000,3.1,O=C1OC=NC=C1,,[]
4,1208.920847,23.4,0.064557,7.1,0.138200,1.1,25.078000,29.7,O=CC1=NC(=O)ON=C1,,[]
4,1236.973658,28.6,0.097695,54.0,0.193800,33.1,18.812000,3.7,O=C1CCC=C1,,[]
4,1369.789803,53.4,0.079405,29.7,0.135400,0.9,23.628000,20.6,O=C1C=CC2=C1ON=C2,,[]
4,1601.791351,83.1,0.126449,86.3,0.111400,0.0,28.215000,62.9,O=C1O[C-]2C[NH2+]CC2=C1,,[]
5,660.735473,0.0,0.028773,0.0,0.148500,3.6,18.268000,4.2,O=C1N=NON=N1,,[]
5,795.631812,0.4,0.042706,1.1,0.172100,16.0,17.150000,2.0,FC1=CN=NN=N1,,[]
