generation,num_proposed,num_retained,ei_avg,sp_avg,ei_sel_avg,sp_sel_avg,added_points,size_pareto
1,0,0,0,0,0,0,5,5
2,10000,500,0.5014149999999999,,1.0,,2,2
3,10000,500,0.05325300000000001,,0.8102999999999999,,4,5
4,10000,500,0.016283000000000002,,0.40939999999999993,,7,10
5,10000,500,0.008314000000000002,,0.2361,,4,12
6,10000,500,0.0061010000000000005,,0.18919999999999998,,2,10
7,10000,500,0.0038350000000000003,,0.1465,,3,13
8,10000,500,0.004324000000000001,,0.09680000000000001,,1,14
9,10000,500,0.0043690000000000005,,0.1322,,6,19
10,10000,500,0.0043230000000000005,,0.09059999999999999,,0,19
11,10000,500,0.004287000000000001,,0.08430000000000001,,0,19
12,10000,500,0.0032980000000000006,,0.06789999999999999,,3,22
13,10000,500,0.003251,,0.0613,,1,23
14,10000,500,0.004092,,0.08099999999999997,,2,25
15,10000,500,0.0038050000000000002,,0.0634,,2,27
16,10000,500,0.0046429999999999996,,0.1408,,2,18
17,10000,500,0.002573,,0.06799999999999999,,2,18
18,10000,500,0.002701,,0.055555555555555546,,0,18
19,10000,500,0.0031270000000000004,,0.08030000000000001,,1,18
20,10000,500,0.0024700000000000004,,0.0532,,1,19
21,10000,500,0.0029860000000000004,,0.0846,,0,19
22,10000,500,0.0023710000000000003,,0.0633,,2,19
23,10000,500,0.002813,,0.07179999999999999,,2,21
24,10000,500,0.0022949999999999997,,0.061399999999999996,,0,21
25,10000,500,0.002489,,0.04539999999999999,,1,20
26,10000,500,0.00239,,0.0636,,1,21
27,10000,500,0.002132,,0.0358,,0,21
28,10000,500,0.00186,,0.038599999999999995,,1,22
29,10000,500,0.0027890000000000002,,0.05799999999999999,,3,21
30,10000,500,0.001495,,0.044199999999999996,,0,21
31,10000,500,0.002064,,0.05140000000000001,,0,21
32,10000,500,0.0022470000000000003,,0.0582,,0,21
33,10000,500,0.001645,,0.0451,,2,23
34,10000,500,0.001832,,0.0375,,0,23
35,10000,500,0.001225,,0.0398,,1,24
36,10000,500,0.0017289999999999999,,0.0493,,1,23
37,10000,500,0.0018280000000000002,,0.050499999999999996,,0,23
38,10000,500,0.001208,,0.03359999999999999,,0,23
39,10000,500,0.0017900000000000001,,0.0453,,0,23
40,10000,500,0.001359,,0.0301,,0,23
41,10000,500,0.0018280000000000002,,0.04680000000000001,,1,24
42,10000,500,0.001464,,0.037899999999999996,,0,24
43,10000,500,0.001143,,0.0254,,0,24
44,10000,500,0.001117,,0.026399999999999996,,0,24
45,10000,500,0.001558,,0.0363,,0,24
46,10000,500,0.0015890000000000001,,0.0342,,1,22
47,10000,500,0.001532,,0.052000000000000005,,0,22
48,10000,500,0.001237,,0.0272,,0,22
49,10000,500,0.0014570000000000002,,0.0352,,0,22
50,10000,500,0.0010350000000000001,,0.029299999999999996,,0,22
51,10000,500,0.001459,,0.0325,,0,22
52,10000,500,0.001811,,0.0388,,0,22
53,10000,500,0.001461,,0.0331,,0,22
54,10000,500,0.001355,,0.0427,,0,22
55,10000,500,0.0018090000000000003,,0.0326,,0,22
56,10000,500,0.0009459999999999999,,0.024000000000000004,,0,22
57,10000,500,0.001939,,0.0541,,1,22
58,10000,500,0.0019660000000000003,,0.04079999999999999,,1,18
59,10000,500,0.001516,,0.04709999999999999,,0,18
60,10000,500,0.001564,,0.044599999999999994,,0,18
61,10000,500,0.0012530000000000002,,0.027100000000000003,,0,18
62,10000,500,0.0010789999999999999,,0.0441,,0,18
63,10000,500,0.001368,,0.0328,,0,18
64,10000,500,0.0015070000000000003,,0.0371,,0,18
65,10000,500,0.001294,,0.0255,,0,18
66,10000,500,0.001152,,0.0246,,0,18
67,10000,500,0.001417,,0.030100000000000002,,0,18
68,10000,500,0.00122,,0.0358,,0,18
69,10000,500,0.001104,,0.0291,,0,18
70,10000,500,0.001366,,0.0337,,0,18
71,10000,500,0.001559,,0.0351,,0,18
72,10000,500,0.001558,,0.0246,,0,18
73,10000,500,0.001404,,0.041100000000000005,,0,18
74,10000,500,0.001367,,0.044399999999999995,,1,17
75,10000,500,0.001183,,0.0365,,0,17
76,10000,500,0.0012420000000000003,,0.031100000000000003,,0,17
77,10000,500,0.0012439999999999999,,0.0238,,0,17
78,10000,500,0.000725,,0.029797979797979796,,0,17
79,10000,500,0.0015120000000000003,,0.0327,,0,17
80,10000,500,0.0009,,0.05310000000000001,,0,17
81,10000,500,0.001704,,0.0384,,0,17
82,10000,500,0.0012420000000000003,,0.027600000000000003,,0,17
83,10000,500,0.001157,,0.0248,,0,17
84,10000,500,0.00081,,0.029699999999999997,,1,18
85,10000,500,0.001083,,0.026099999999999998,,0,18
86,10000,500,0.0008470000000000001,,0.0333,,0,18
87,10000,500,0.0012050000000000001,,0.0304,,0,18
88,10000,500,0.001165,,0.0291,,0,18
89,10000,500,0.0009109999999999999,,0.0426,,0,18
90,10000,500,0.001025,,0.03319999999999999,,0,18
91,10000,500,0.00099,,0.035,,0,18
92,10000,500,0.001149,,0.0236,,0,18
93,10000,500,0.00040899999999999997,,0.0248,,0,18
94,10000,500,0.00065,,0.021799999999999996,,0,18
95,10000,500,0.001241,,0.025300000000000003,,0,18
96,10000,500,0.001255,,0.031900000000000005,,0,18
97,10000,500,0.000904,,0.0173,,0,18
98,10000,500,0.0013240000000000003,,0.0229,,0,18
99,10000,500,0.001024,,0.026000000000000002,,0,18
100,10000,500,0.001068,,0.0271,,0,18
101,10000,500,0.001382,,0.030200000000000005,,0,18
