generation,E_at,E_at_percentile,zvpe,zvpe_percentile,e_gap,e_gap_percentile,C_v,C_v_percentile,SMILES,coordList,functionalization
1,1188.983616,0.0,0.077449,0.0,0.201600,10.0,26.937000,10.0,NC(C#N)C1=NON=N1,,[]
1,1336.166591,2.0,0.101615,6.0,0.188000,8.0,30.468000,44.0,NC=NC1=NON=C1N,,[]
1,1410.429827,10.0,0.103677,10.0,0.211400,24.0,26.295000,2.0,CC1=NNC2=NN=CN12,,[]
1,1474.896385,12.0,0.112792,16.0,0.168300,0.0,27.051000,12.0,C1CC1C1=CN=NN=N1,,[]
1,1487.741504,14.0,0.108940,12.0,0.208800,18.0,26.018000,0.0,NC1=CC=CC=C1F,,[]
2,1028.427160,0.0,0.088734,9.3,0.288900,87.3,20.194000,0.7,COCC#C,,[]
2,1056.539584,0.7,0.087299,8.0,0.257700,74.7,17.470000,0.0,CN1N=CC=N1,,[]
2,1175.807172,1.3,0.074476,1.3,0.130800,0.7,29.775000,60.0,NC1=C(F)C(=N)N=NO1,,[]
2,1188.983616,2.0,0.077449,3.3,0.201600,26.7,26.937000,23.3,NC(C#N)C1=NON=N1,,[]
2,1196.567696,2.7,0.079168,5.3,0.300800,91.3,22.206000,1.3,N#CC1CC1C#N,,[]
2,1216.670589,3.3,0.086652,6.7,0.224200,50.7,24.276000,5.3,NC(=O)C1=NNN=C1,,[]
2,1216.974304,4.0,0.074170,0.7,0.302300,92.0,27.736000,34.0,FC(F)(F)C1NC1C#N,,[]
2,1248.012805,5.3,0.078027,4.0,0.173900,10.0,26.821000,22.0,OC1=NN=C(O)N1C=O,,[]
2,1258.180341,6.0,0.078874,4.7,0.193300,20.0,24.184000,4.7,N=C1OCC2=C1ON=N2,,[]
2,1259.080817,6.7,0.064174,0.0,0.219400,46.0,26.825000,22.7,O=C1C(OC1C#N)C#N,,[]
2,1274.976887,7.3,0.087176,7.3,0.159500,4.0,28.899000,47.3,CN=C1NC(=O)N=NO1,,[]
2,1332.239009,8.7,0.074510,2.0,0.161200,4.7,29.774000,59.3,O=CC(=O)NC(=O)C#C,,[]
2,1351.556261,10.7,0.076017,2.7,0.241400,66.7,26.019000,12.7,FC1=CC=CC(F)=C1F,,[]
2,1376.426344,15.3,0.096061,13.3,0.182800,16.0,26.036000,14.0,NC1=C(C=O)C=CO1,,[]
2,1440.736652,24.7,0.092559,12.0,0.166800,5.3,23.264000,2.7,O1C=C2N=CC=C2C=N1,,[]
2,1465.545867,29.3,0.093459,12.7,0.208100,36.7,22.750000,2.0,O1N=CC2=C1C=CN=C2,,[]
2,1486.099312,34.7,0.103903,27.3,0.139900,1.3,27.432000,30.7,N=C1NC(=N)C(=O)C=C1,,[]
2,1543.458698,49.3,0.123921,57.3,0.102600,0.0,31.354000,74.7,CC(=N[O-])C1=CNC=[NH+]1,,[]
3,395.999894,0.0,0.044749,0.0,0.504800,99.6,6.469000,0.0,C,,[]
3,971.551583,0.4,0.057746,1.6,0.245300,77.2,18.221000,0.8,N#CC1=CNN=N1,,[]
3,984.215980,0.8,0.073748,8.4,0.210000,46.8,21.839000,3.2,NC(=O)C(N)=O,,[]
3,1056.539584,2.0,0.087299,28.4,0.257700,81.2,17.470000,0.4,CN1N=CC=N1,,[]
3,1092.337744,2.4,0.059613,2.0,0.186800,24.4,21.880000,4.0,FC1=CC(=O)ON=C1,,[]
3,1110.789661,3.6,0.066388,4.4,0.142700,1.6,23.317000,8.4,O=N(=O)C1=CN=NC=N1,,[]
3,1120.277604,4.0,0.054262,0.8,0.235200,69.6,23.864000,11.2,OC1=NC(=O)N=C(F)O1,,[]
3,1143.615936,6.4,0.052865,0.4,0.197600,32.0,25.081000,21.6,O=C(C#N)C1=CON=N1,,[]
3,1153.927799,7.2,0.091696,38.8,0.241100,74.0,21.796000,2.8,CNC1=NC=NO1,,[]
3,1166.201885,7.6,0.074644,10.4,0.192800,28.0,21.191000,1.6,N1C=CC2=C1N=NO2,,[]
3,1175.566209,8.0,0.054436,1.2,0.179400,19.2,24.448000,16.8,N#CC#CC1=CN=NO1,,[]
3,1175.807172,8.4,0.074476,9.6,0.130800,0.4,29.775000,73.6,NC1=C(F)C(=N)N=NO1,,[]
3,1220.258688,14.0,0.072520,7.6,0.221100,56.0,21.873000,3.6,FC1=CC(F)=CN=C1,,[]
3,1299.858265,27.2,0.083174,23.6,0.173800,14.0,21.628000,2.4,[N-]1[NH+]=CN=C2N=CN=C12,,[]
3,1386.848648,42.4,0.076672,12.0,0.130900,0.8,28.539000,60.0,O=C1NC=C(C#C)C1=O,,[]
3,1440.736652,52.8,0.092559,40.4,0.166800,8.8,23.264000,7.6,O1C=C2N=CC=C2C=N1,,[]
3,1486.099312,60.0,0.103903,56.0,0.139900,1.2,27.432000,48.0,N=C1NC(=N)C(=O)C=C1,,[]
3,1543.458698,69.6,0.123921,74.4,0.102600,0.0,31.354000,84.0,CC(=N[O-])C1=CNC=[NH+]1,,[]
4,395.999894,0.0,0.044749,0.3,0.504800,99.7,6.469000,0.0,C,,[]
4,761.150167,0.3,0.079754,28.0,0.341700,98.6,13.546000,0.3,CCO,,[]
4,857.729522,0.6,0.062456,2.9,0.196500,32.6,17.458000,1.7,NC1=CON=N1,,[]
4,863.282354,0.9,0.049170,0.6,0.300000,93.4,19.442000,4.9,OC(C#N)C#N,,[]
4,877.887009,1.1,0.063710,3.4,0.230900,66.6,16.859000,1.4,NC1=NOC=N1,,[]
4,941.625029,1.7,0.036958,0.0,0.215200,52.0,20.279000,7.1,O=C1ON=C(O1)C#N,,[]
4,948.194426,2.0,0.080558,28.9,0.290700,91.7,15.510000,0.6,N=C1CCO1,,[]
4,957.288921,2.3,0.069073,9.7,0.179500,21.1,19.059000,3.7,N=C1N=CNN=N1,,[]
4,971.551583,2.6,0.057746,2.3,0.245300,76.9,18.221000,2.6,N#CC1=CNN=N1,,[]
4,1003.484285,3.1,0.080403,28.6,0.322000,97.1,16.544000,1.1,N#CC1CC1,,[]
4,1016.725990,3.4,0.052048,0.9,0.160100,7.1,24.066000,22.0,O=CC(=O)N1N=NN=N1,,[]
4,1029.352109,4.0,0.071099,11.1,0.149600,3.7,23.237000,16.0,CN1N=NC(=O)N=N1,,[]
4,1077.773250,6.0,0.069424,10.0,0.153600,5.4,24.516000,26.3,CC1=NON=NC1=O,,[]
4,1092.337744,6.9,0.059613,2.6,0.186800,25.4,21.880000,11.7,FC1=CC(=O)ON=C1,,[]
4,1110.789661,8.0,0.066388,6.9,0.142700,1.1,23.317000,17.1,O=N(=O)C1=CN=NC=N1,,[]
4,1156.840698,13.1,0.079509,27.1,0.155700,6.6,21.536000,9.1,N=C1NC=CC1=O,,[]
4,1171.919123,14.6,0.063845,3.7,0.148700,3.4,25.510000,34.6,O=CC1=NON=CC1=O,,[]
4,1175.807172,15.4,0.074476,16.9,0.130800,0.3,29.775000,79.1,NC1=C(F)C(=N)N=NO1,,[]
4,1180.212916,16.6,0.068228,8.9,0.169900,13.7,21.644000,10.0,O1N=CC2=NC=NC2=N1,,[]
4,1386.848648,55.7,0.076672,19.7,0.130900,0.6,28.539000,69.1,O=C1NC=C(C#C)C1=O,,[]
4,1486.099312,70.6,0.103903,66.3,0.139900,0.9,27.432000,56.6,N=C1NC(=N)C(=O)C=C1,,[]
4,1543.458698,77.4,0.123921,81.1,0.102600,0.0,31.354000,88.3,CC(=N[O-])C1=CNC=[NH+]1,,[]
5,395.999894,0.0,0.044749,0.9,0.504800,99.8,6.469000,0.0,C,,[]
5,672.823188,0.2,0.037354,0.4,0.238600,69.3,15.312000,0.7,C#CC#C,,[]
