generation,num_proposed,num_retained,ei_avg,sp_avg,ei_sel_avg,sp_sel_avg,added_points,size_pareto
1,0,0,0,0,0,0,4,4
2,0,0,0.39454399999999995,0,0,0,2,6
3,0,0,0.27121300000000004,0,0,0,2,4
4,0,0,0.16791999999999999,0,0,0,4,6
5,0,0,0.11336600000000001,0,0,0,3,9
6,0,0,0.096046,0,0,0,0,9
7,0,0,0.095384,0,0,0,1,9
8,0,0,0.079267,0,0,0,1,10
9,0,0,0.077865,0,0,0,2,12
10,0,0,0.073402,0,0,0,1,13
11,0,0,0.06827000000000001,0,0,0,1,14
12,0,0,0.06791100000000001,0,0,0,1,10
13,0,0,0.053603,0,0,0,0,10
14,0,0,0.04551,0,0,0,0,10
15,0,0,0.043466000000000005,0,0,0,1,11
16,0,0,0.041701999999999996,0,0,0,1,11
17,0,0,0.045238,0,0,0,0,11
18,0,0,0.040639,0,0,0,0,11
19,0,0,0.037195,0,0,0,1,11
20,0,0,0.034661000000000004,0,0,0,0,11
21,0,0,0.032313,0,0,0,0,11
22,0,0,0.029939999999999998,0,0,0,1,12
23,0,0,0.030687,0,0,0,0,12
24,0,0,0.028464,0,0,0,2,12
25,0,0,0.029768,0,0,0,1,13
26,0,0,0.030067,0,0,0,1,14
27,0,0,0.02854,0,0,0,2,16
28,0,0,0.027141999999999996,0,0,0,0,16
29,0,0,0.027594999999999998,0,0,0,0,16
30,0,0,0.026364000000000005,0,0,0,0,16
31,0,0,0.026478999999999996,0,0,0,1,17
32,0,0,0.023466,0,0,0,0,17
33,0,0,0.026764,0,0,0,1,15
34,0,0,0.023646999999999998,0,0,0,1,11
35,0,0,0.023171999999999998,0,0,0,0,11
36,0,0,0.021849,0,0,0,0,11
37,0,0,0.020832,0,0,0,0,11
38,0,0,0.020863999999999997,0,0,0,1,12
39,0,0,0.022394,0,0,0,0,12
40,0,0,0.019532,0,0,0,0,12
41,0,0,0.022142000000000002,0,0,0,0,12
42,0,0,0.020279000000000002,0,0,0,0,12
43,0,0,0.021495,0,0,0,0,12
44,0,0,0.020694999999999998,0,0,0,0,12
45,0,0,0.018414,0,0,0,0,12
46,0,0,0.018286,0,0,0,0,12
47,0,0,0.020862000000000002,0,0,0,0,12
48,0,0,0.019344,0,0,0,0,12
49,0,0,0.021002,0,0,0,1,13
50,0,0,0.019846,0,0,0,1,14
51,0,0,0.020442,0,0,0,0,14
52,0,0,0.017794,0,0,0,1,15
53,0,0,0.019507,0,0,0,0,15
54,0,0,0.019989,0,0,0,0,15
55,0,0,0.019925,0,0,0,0,15
56,0,0,0.018057,0,0,0,0,15
57,0,0,0.019621,0,0,0,0,15
58,0,0,0.017006,0,0,0,0,15
59,0,0,0.017936,0,0,0,0,15
60,0,0,0.01788,0,0,0,0,15
61,0,0,0.018594,0,0,0,0,15
62,0,0,0.017061,0,0,0,1,16
63,0,0,0.017785,0,0,0,1,17
64,0,0,0.016496000000000004,0,0,0,1,18
65,0,0,0.01701,0,0,0,0,18
66,0,0,0.018313,0,0,0,0,18
67,0,0,0.017955000000000002,0,0,0,0,18
68,0,0,0.01715,0,0,0,0,18
69,0,0,0.016355,0,0,0,0,18
70,0,0,0.017103,0,0,0,0,18
71,0,0,0.016826999999999998,0,0,0,1,18
72,0,0,0.019012,0,0,0,0,18
73,0,0,0.018796,0,0,0,0,18
74,0,0,0.016956,0,0,0,1,19
75,0,0,0.016536,0,0,0,0,19
76,0,0,0.015750999999999998,0,0,0,0,19
77,0,0,0.015274000000000001,0,0,0,0,19
78,0,0,0.015394,0,0,0,0,19
79,0,0,0.015094999999999999,0,0,0,0,19
80,0,0,0.015301999999999998,0,0,0,0,19
81,0,0,0.015676999999999996,0,0,0,0,19
82,0,0,0.014,0,0,0,1,20
83,0,0,0.015497,0,0,0,0,20
84,0,0,0.015189000000000001,0,0,0,1,21
85,0,0,0.013666,0,0,0,0,21
86,0,0,0.014613999999999999,0,0,0,0,21
87,0,0,0.015620999999999998,0,0,0,0,21
88,0,0,0.015841,0,0,0,0,21
89,0,0,0.013865,0,0,0,0,21
90,0,0,0.013669999999999998,0,0,0,0,21
91,0,0,0.015309,0,0,0,0,21
92,0,0,0.013678000000000001,0,0,0,0,21
93,0,0,0.013743,0,0,0,1,21
94,0,0,0.015266000000000002,0,0,0,0,21
95,0,0,0.012787,0,0,0,0,21
96,0,0,0.014137,0,0,0,0,21
97,0,0,0.015026999999999999,0,0,0,1,20
98,0,0,0.013895,0,0,0,0,20
99,0,0,0.012418999999999998,0,0,0,0,20
100,0,0,0.012366,0,0,0,0,20
101,0,0,0.012931999999999999,0,0,0,0,20
