generation,E_at,E_at_percentile,zvpe,zvpe_percentile,e_gap,e_gap_percentile,C_v,C_v_percentile,SMILES,coordList,functionalization
1,1224.717143,0.0,0.068927,0.0,0.186600,10.0,21.532000,2.0,O1N=NC2=C1N=CN=C2,,[]
1,1265.428703,2.0,0.075293,2.0,0.191800,16.0,21.261000,0.0,N#CC1=NC=NC=C1,,[]
1,1316.229360,4.0,0.078774,6.0,0.180800,4.0,25.848000,6.0,N=C1C=NOC=C1C#N,,[]
1,1378.080459,6.0,0.077038,4.0,0.151400,0.0,26.818000,10.0,O=C1OC=CN=C1C#C,,[]
2,1224.717143,0.0,0.068927,0.0,0.186600,6.7,21.532000,0.7,O1N=NC2=C1N=CN=C2,,[]
2,1265.428703,1.3,0.075293,0.7,0.191800,11.3,21.261000,0.0,N#CC1=NC=NC=C1,,[]
2,1316.229360,2.0,0.078774,2.0,0.180800,4.7,25.848000,6.0,N=C1C=NOC=C1C#N,,[]
2,1345.487617,3.3,0.101569,8.0,0.171700,2.7,28.493000,20.0,CN1N=NC(=N)N=C1O,,[]
2,1378.080459,4.0,0.077038,1.3,0.151400,0.0,26.818000,9.3,O=C1OC=CN=C1C#C,,[]
2,1777.887452,50.0,0.139052,34.7,0.180100,4.0,26.396000,8.0,O=C1C=CC2C3CC2C13,,[]
3,1110.789661,0.0,0.066388,0.4,0.142700,0.0,23.317000,1.6,O=N(=O)C1=CN=NC=N1,,[]
3,1224.717143,0.4,0.068927,0.8,0.186600,7.6,21.532000,0.4,O1N=NC2=C1N=CN=C2,,[]
3,1237.532142,0.8,0.065945,0.0,0.179100,5.2,24.566000,3.6,O=C1OC=NC(=O)C=N1,,[]
3,1265.428703,2.0,0.075293,1.2,0.191800,11.6,21.261000,0.0,N#CC1=NC=NC=C1,,[]
4,358.757206,0.0,0.026603,0.0,0.226300,34.6,6.413000,0.0,C=O,,[]
4,1110.789661,0.3,0.066388,0.9,0.142700,0.6,23.317000,2.3,O=N(=O)C1=CN=NC=N1,,[]
4,1117.755016,0.6,0.060201,0.3,0.169300,3.4,21.528000,0.6,FC1=CN=CC(=O)O1,,[]
4,1265.428703,2.9,0.075293,2.0,0.191800,11.1,21.261000,0.3,N#CC1=NC=NC=C1,,[]
4,1378.771974,6.6,0.099367,6.6,0.142500,0.3,29.624000,33.1,CNC1=CON=NC1=O,,[]
4,1389.301583,6.9,0.089868,3.7,0.138200,0.0,25.030000,4.9,O=C1C2COC(O2)C1=O,,[]
5,358.757206,0.0,0.026603,0.2,0.226300,35.6,6.413000,0.0,C=O,,[]
5,494.017501,0.2,0.015951,0.0,0.277000,67.8,10.398000,0.2,N#CC#N,,[]
