generation,num_attempted,num_proposed,num_retained,num_selected_A,num_selected_B,num_valid,num_repeated,num_success_repeated,num_timeout,avg_time_success,avg_time_fail,ei_avg,sp_avg,ei_sel_avg,sp_sel_avg,added_points,size_pareto,num_group_A,num_group_B,num_group_C
1,500,500,500,-1,-1,185,0,0,72,973.1467005265725,231.54275632198946,0,0,0,0,44,44,500,0,0
2,57064,49882,3000,2850,150,17,0,0,116,865.2342038855833,893.6185624942094,0.2164142576480494,0.0,0.7163333333333333,0.0,8,49,40260,4837,4785
3,57166,49884,3000,2850,150,11,0,0,130,848.2864352356304,959.612625096579,0.2392056771710368,0.0,0.7430533333333333,0.0,5,53,40554,4525,4805
4,57209,49894,3000,2850,150,20,0,0,122,953.7295472860336,870.7549850291844,0.19704597747224115,0.0,0.5556266666666666,0.0,10,57,40915,4361,4618
5,57601,49907,3000,2850,150,20,0,0,111,999.5253362894058,914.1340130334775,0.2184146512513275,0.0,0.5652533333333334,0.0,13,70,41271,4213,4423
6,57469,49873,3000,2850,150,28,0,0,110,1073.7263132929802,849.7555380176615,0.24837896256491493,0.0,0.5433333333333333,0.0,15,85,41161,4263,4449
7,57162,49884,3000,2850,150,24,0,0,107,788.6481797893842,918.3563569551388,0.24887699462753587,0.0,0.5611866666666666,0.0,8,93,41106,4318,4460
8,56940,49896,3000,2850,150,47,0,0,96,954.7998132654961,772.5602132590712,0.25171637004970343,0.0,0.53212,0.0,21,98,40889,4402,4605
9,57583,49887,3000,2850,150,70,0,0,78,591.5068648747035,762.7284078216553,0.2694312345901738,0.0,0.5426845637583894,0.0,18,115,41063,4454,4370
10,57393,49885,3000,2850,150,113,0,0,67,560.5374107614027,626.2194463292758,0.2570698205873509,0.0,0.4962,0.0,27,128,41020,4466,4399
11,57694,49883,3000,2850,150,118,0,0,62,577.8099012415288,375.59189682006837,0.33507704027424173,0.0,0.5266933333333332,0.0,23,131,41343,4331,4209
12,58138,49900,3000,2850,150,162,0,0,41,495.7552817368213,168.23281640858994,0.31686212424849697,0.0,0.5216133333333334,0.0,16,144,41533,4303,4064
13,58490,49889,3000,2850,150,138,0,0,60,532.0217983498089,553.4622250958985,0.27717011766120786,0.0,0.4647466666666667,0.0,16,156,41567,4192,4130
14,58444,49886,3000,2850,150,144,0,0,52,599.3356047521034,140.98150778504518,0.2871867858717877,0.0,0.4822933333333333,0.0,9,164,41670,4106,4110
15,58629,49902,3000,2850,150,137,0,0,62,538.5845339785527,387.7973969313178,0.21447861809145927,0.0,0.4075466666666666,0.0,17,174,41971,3830,4101
16,58938,49892,3000,2850,150,173,0,0,29,554.8814115910171,41.393970180530935,0.20042531868836688,0.0,0.37908,0.0,20,188,41918,3864,4110
17,59007,49893,3000,2850,150,188,0,0,23,495.3242534513169,40.07462734318851,0.21448531858176495,0.0,0.41539999999999994,0.0,12,159,42119,3803,3971
18,58589,49884,3000,2850,150,175,0,0,14,555.1130023179735,102.07971355936549,0.19601780129901375,0.0,0.37594666666666665,0.0,20,177,41660,4047,4177
19,58882,49884,3000,2850,150,194,0,0,16,517.9011746202548,81.98082485993703,0.16343380643091973,0.0,0.3549999999999999,0.0,11,119,41581,4160,4143
20,60489,49876,3000,2850,150,175,0,0,28,574.1541546194894,111.58052977335822,0.16686149651134816,0.0,0.35523999999999994,0.0,16,117,43097,3205,3574
21,60994,49867,3000,2850,150,189,0,0,18,465.0978302678103,93.51843617295707,0.17419375538933565,0.0,0.35332,0.0,11,128,43368,3096,3403
22,61202,49879,3000,2850,150,155,0,0,36,577.7190638572939,57.28001216135988,0.1541607490126105,0.0,0.3330533333333333,0.0,20,139,43309,3128,3442
23,61560,49880,3000,2850,150,178,0,0,14,524.915530202094,19.624033674045844,0.14023977546110666,0.0,0.32365333333333335,0.0,17,155,43741,2820,3319
24,61789,49893,3000,2850,150,174,0,0,10,507.8885233402252,21.719501330934722,0.14558908063255366,0.0,0.31792000000000004,0.0,13,168,43917,2572,3404
25,61856,49879,3000,2850,150,164,0,0,11,624.1203556031716,35.36665873718262,0.17633890013833478,0.0,0.3324533333333333,0.0,8,176,44038,2556,3285
26,61821,49878,3000,2850,150,163,0,0,18,592.229581335571,22.872188305654447,0.1159271823248727,0.0,0.28957333333333335,0.0,10,180,43949,2642,3287
27,62094,49882,3000,2850,150,173,0,0,11,611.4323957986226,26.684643605659748,0.14719345655747565,0.0,0.3264533333333333,0.0,13,192,44093,2452,3337
28,61980,49874,3000,2850,150,183,0,0,11,569.2341071243494,38.67852592018416,0.1517475237598749,0.0,0.3152266666666666,0.0,10,202,44111,2439,3324
29,62080,49869,3000,2850,150,190,0,0,22,562.1642755307649,80.53973212735406,0.15096151918025227,0.0,0.321056856187291,0.0,12,209,44073,2485,3311
30,62248,49865,3000,2850,150,178,0,0,12,687.0919242213281,33.92418322129683,0.13505424646545675,0.0,0.2904933333333333,0.0,8,215,44160,2364,3341
31,62342,49892,3000,2850,150,158,0,0,17,585.968167979506,30.572094732284548,0.14209276036238278,0.0,0.31771999999999995,0.0,12,227,44179,2409,3304
32,62245,49875,3000,2850,150,187,0,0,8,558.8343931914651,39.02283768199739,0.1367608621553885,0.0,0.29585333333333336,0.0,11,237,44322,2371,3182
33,62533,49878,3000,2850,150,187,0,0,17,581.7763774586234,37.41383525232474,0.1293588355587634,0.0,0.29891999999999996,0.0,13,245,44269,2328,3281
34,62703,49870,3000,2850,150,218,0,0,6,624.605131762837,37.30509555026104,0.11577389211951074,0.0,0.2791866666666667,0.0,17,262,44253,2268,3349
35,62369,49881,3000,2850,150,168,0,0,18,623.4036994264239,33.98696497866982,0.12616306810208297,0.0,0.2650533333333334,0.0,9,255,44029,2499,3353
36,62604,49872,3000,2850,150,190,0,0,13,594.1082654413424,24.07309289322686,0.11562319538017325,0.0,0.28192,0.0,15,269,44181,2448,3243
37,62437,49873,3000,2850,150,169,0,0,12,556.1582354977286,30.471234345636447,0.12600405028773085,0.0,0.29934666666666665,0.0,13,281,44005,2471,3397
38,62652,49877,3000,2850,150,192,0,0,19,534.297683622688,28.822059492046915,0.11094556609258775,0.0,0.2670133333333333,0.0,13,288,43982,2511,3384
39,62848,49878,3000,2850,150,207,0,0,7,514.0599564250541,60.99455161981805,0.11793560287100527,0.0,0.26421333333333336,0.0,22,306,43984,2421,3473
40,62800,49865,3000,2850,150,192,0,0,20,596.609022176514,23.556576736948706,0.10778670410107288,0.0,0.25218666666666667,0.0,10,315,43843,2455,3567
41,62264,49875,3000,2850,150,168,0,0,19,586.2898785514491,46.24179454609356,0.13846905263157896,0.0,0.29338666666666663,0.0,9,324,43885,2506,3484
