generation,section,smiles,coordList,functionalization,success_prob
0,bottom,CCOP(=O)(OCC)C1=C2CCc3ccc(OC)c(NC1=O)c23,"[21, 4]","[{'functional_group': 'cyanimide', 'smiles_inds': [19]}]",0.0
0,bottom,CC(C)c1cccc(C(C)C)c1N=CC1=C([O-])CCCC1,"[12, 16]",[],0.0
0,bottom,Fc1c[c-]c(cc1C(F)(F)F)c1ccccn1,"[3, 16]","[{'functional_group': 'tribromo', 'smiles_inds': [12]}]",0.0
0,bottom,Oc1ccc(nc1)C(=O)[N-][NH+]=Cc1ccc(O)cc1O,"[9, 5]","[{'functional_group': 'ethyl_ester', 'smiles_inds': [16]}]",0.0
0,bottom,CCOC(=O)CC#N,[7],[],0.0
0,bottom,Clc1ccccc1C([O-])=NN=Cc1ccccc1[O-],"[10, 18, 8]","[{'functional_group': 'thiol', 'smiles_inds': [4]}]",0.0
0,bottom,O[P](O)=O,[1],"[{'functional_group': 'thiol', 'smiles_inds': [0]}]",0.0
0,bottom,[NH3+]CCCCC(N)C(=O)[O-],"[9, 6]","[{'functional_group': 'thiol', 'smiles_inds': [2]}]",0.0
0,bottom,CN(C)CC[N-]c1ccccc1C1=NC(C)(C)CO1,"[13, 5]","[{'functional_group': 'ketone', 'smiles_inds': [7]}]",0.0
0,bottom,[NH3+]C12CNCCNCC([NH2+]Cc3ccccc3O)(CNCCNC1)CNCCNC2,"[6, 3, 19, 22, 25, 28]","[{'functional_group': 'ethyl_ester', 'smiles_inds': [15]}]",0.0
0,bottom,CC(C)c1cccc(C(C)C)c1N=CC1=CC=CC1=C[N-]c1c(cccc1C(C)C)C(C)C,"[20, 12]","[{'functional_group': 'aldehyde', 'smiles_inds': [2]}, {'functional_group': 'aldehyde', 'smiles_inds': [15]}, {'functional_group': 'carboxyllic_acid', 'smiles_inds': [17]}]",0.0
0,bottom,Cc1cccc(n1)c1cc(cc(C)n1)C#C,"[13, 6]","[{'functional_group': 'carboxyllic_acid', 'smiles_inds': [8]}]",0.0
0,bottom,NCCNCC(=O)NCc1ccccc1,"[0, 3]","[{'functional_group': 'carboxyllic_acid', 'smiles_inds': [4]}]",0.0
0,bottom,FC(F)(P(Sc1ccccc1)Sc1ccccc1)P(Sc1ccccc1)Sc1ccccc1,"[3, 18]",[],0.0
0,bottom,CC(=O)OC(c1ccccn1)(c1ccccn1)c1ccccn1,"[10, 16, 22]",[],0.0
0,bottom,CC(C)(C)P(c1cc(cc(c1O)C(C)(C)C)C(C)(C)C)c1cc(cc(c1[O-])C(C)(C)C)C(C)(C)C,"[26, 4]","[{'functional_group': 'trichloro', 'smiles_inds': [8]}]",0.0
0,bottom,C[Ge](c1ccccc1P(c1ccc(OC)cc1)c1ccc(OC)cc1)c1ccccc1P(c1ccc(OC)cc1)c1ccc(OC)cc1,"[8, 31, 1]","[{'functional_group': 'tribromo', 'smiles_inds': [29]}]",0.0
0,bottom,CC(O)c1ccncc1,[6],"[{'functional_group': 'ethyl', 'smiles_inds': [7]}]",0.0
0,bottom,CC(C)NC(C)(C)C(C)=N[O-],"[9, 3]",[],0.0
0,bottom,CC(=NN=C([S-])SCc1ccccc1)c1cccc(O)c1,"[5, 2]",[],0.0
0,median,CC(C)P(Oc1cccc(CN2CCOCC2)[c-]1)C(C)C,"[3, 11, 17]",[],0.0
0,median,O=C([O-])CN(CC(=O)[O-])Cc1ccc(cc1)N(=O)=O,"[2, 8, 4]","[{'functional_group': 'ethyl', 'smiles_inds': [15]}, {'functional_group': 'methyl', 'smiles_inds': [9]}]",0.0
0,median,C1CCC(CC1)N=Cc1ccccc1c1cccc([c-]1)c1ccccc1C=NC1CCCCC1,"[6, 19, 27]",[],0.0
0,median,CCCCc1ccc2cccc([N-][Si](C)(C)C(C)(C)C)c2n1,"[21, 12]",[],0.0
0,median,CC(=O)NC1CCCN([O-])C(=O)C=C(C)CCOC(=O)C(CCCN([O-])C(=O)C=C(C)CCOC(=O)C(CCCN([O-])C(=O)C=C(C)CCOC1=O)NC(C)=O)NC(C)=O,"[41, 43, 9, 11, 25, 27]",[],0.0
0,median,Oc1cccc(NCc2ccccn2)c1,"[13, 6]","[{'functional_group': 'carbonyl', 'smiles_inds': [4]}]",0.0
