generation,sco_kcal,sco_kcal_percentile,octanol_gsolv_eV,octanol_gsolv_eV_percentile,octanol_hl_gap_eV,octanol_hl_gap_eV_percentile,octanol_dipole,octanol_dipole_percentile,SMILES,coordList,functionalization
1,0.168098,0.0,-3.097860,60.6,0.005159,6.9,-5.903516,14.9,O=C([N-]CCON(=O)=O)c1ccccn1,"[14, 2]","[{'functional_group': 'phenyl', 'smiles_inds': [10]}]"
1,0.394739,0.6,-6.635308,41.1,0.034321,41.7,-2.050930,49.1,CC(CN=CC1=NNC=C1)(CN=CC1=NNC=C1)CN=CC1=NNC=C1,"[19, 3, 22, 6, 11, 14]","[{'functional_group': 'chloro', 'smiles_inds': [24]}]"
1,0.586116,1.1,-1.431365,85.1,0.074134,57.7,-7.518459,9.1,CNCCCN=Cc1c([O-])ccc2ccccc12,"[9, 1, 5]",[]
1,0.872954,1.7,-5.765495,45.1,0.004607,6.3,-0.345906,88.6,c1cnc2c(c1)ccc1ccc3cccnc3c21,"[15, 2]","[{'functional_group': 'methyl_ester', 'smiles_inds': [7]}, {'functional_group': 'ethyl', 'smiles_inds': [5]}]"
1,1.004562,2.3,-1.668777,80.6,0.028473,37.7,-8.254791,6.9,NC1CCCCC1N=Cc1ccc(Br)cc1[O-],"[16, 7, 0]",[]
1,1.270509,5.1,-6.251301,42.3,0.066560,53.7,-2.558946,36.0,COc1ccc(CNC(=S)NN=Cc2ccccn2)cc1,"[9, 11]",[]
1,1.280612,5.7,-6.526226,42.3,0.007610,12.0,-1.240726,61.1,CC1=NC(=CN1)C=NC1CCCCC1N,"[2, 7, 14]",[]
1,1.516245,6.9,-7.012498,39.4,0.007169,8.6,-0.365702,87.4,CC(=N)C=N,"[2, 4]","[{'functional_group': '2-methylbenzoic_acid', 'smiles_inds': [3]}]"
1,1.541657,7.4,-5.499850,48.0,0.044594,46.9,-7.353429,9.1,O=C([O-])CN(CC(=O)[O-])Cc1ccc(cc1)N(=O)=O,"[2, 8, 4]","[{'functional_group': 'carboxyl', 'smiles_inds': [12]}]"
1,1.806180,9.1,-6.750962,41.1,1.704253,96.0,-0.550195,83.4,CCSCCN,"[2, 5]","[{'functional_group': 'trifluro', 'smiles_inds': [4]}, {'functional_group': 'carboxylate', 'smiles_inds': [1]}]"
1,1.958806,11.4,-5.939721,44.0,0.376194,79.4,-14.050135,1.1,CC(=NN=C([O-])c1ccccc1)C1=Cc2ccc([O-])cc2OC1=O,"[23, 5, 2]","[{'functional_group': 'cyano', 'smiles_inds': [0]}]"
1,2.638411,16.0,-23.129215,2.9,0.891272,93.1,-1.156425,65.1,[NH3+]C12CNCCNCC([NH2+]Cc3ccccc3O)(CNCCNC1)CNCCNC2,"[6, 3, 19, 22, 25, 28]","[{'functional_group': 'carbonyl', 'smiles_inds': [10]}]"
1,2.728766,17.7,-6.781231,40.0,0.077468,57.7,-2.507204,37.1,Oc1cccc2ccc(CN3CCSCc4cccc(CSCC3)n4)nc12,"[21, 13, 0, 24, 10, 25]","[{'functional_group': 'ketone', 'smiles_inds': [16]}]"
1,2.956254,20.6,-6.829113,39.4,0.322607,77.7,-4.799120,21.1,NC(=NN1C(Nc2ccccc2C1=O)C1=NC=CN1)c1ccccn1,"[24, 2, 15]",[]
1,3.021296,21.7,-3.596777,56.6,0.017721,24.6,-2.521407,37.1,CCNC([S-])=NN=CC1=CNc2ccccc12,"[4, 6]",[]
1,4.002150,24.0,-8.072884,34.3,0.012816,20.0,-0.742155,77.1,CCNC(=S)NN=CC1=CC=C(O1)N(=O)=O,"[6, 4]",[]
1,4.522531,28.0,-12.111053,17.1,0.000231,0.6,-0.369731,87.4,O=C1C=CC(=O)N1c1ccc2C=NNc2c1,[12],"[{'functional_group': 'thiol', 'smiles_inds': [9]}, {'functional_group': 'cyanimide', 'smiles_inds': [15]}]"
1,4.611863,29.7,-6.220200,42.3,0.535923,84.6,-8.817940,5.1,Cc1cc(C=NN=C([O-])C(C)(C)C)c([O-])c(c1)C(O)=O,"[14, 5, 8]",[]
1,4.903305,31.4,-4.271085,51.4,0.009308,14.9,-1.829831,52.6,CC(C)C1(C)[NH+]=C([N-]C1=O)c1ncccc1C(=O)[O-],"[7, 11]",[]
1,4.917281,32.0,-8.220968,33.7,0.042827,45.1,-2.812659,31.4,CC(=O)c1cncc(c1)C(C)=O,[5],[]
1,5.328965,34.3,-6.109434,42.9,0.021826,29.7,-3.635000,25.7,CC1=CC=C(O1)C=NNC(N)=S,"[11, 7]","[{'functional_group': 'carboxylate', 'smiles_inds': [2]}]"
1,5.952153,37.1,-6.286277,42.3,0.006661,8.0,-2.802830,31.4,Cc1cccc(N=CNc2nccc(C)n2)n1,"[16, 6]","[{'functional_group': 'methyl_ester', 'smiles_inds': [2]}]"
1,6.099463,38.9,-2.275705,68.6,0.003280,6.3,-1.104327,66.9,COC(=O)c1cccc[c-]1,"[1, 9]","[{'functional_group': 'trifluro', 'smiles_inds': [7]}, {'functional_group': 'carboxylate', 'smiles_inds': [6]}]"
1,7.452405,44.0,-2.972540,61.1,0.001577,2.9,-4.159947,22.3,c1ccc(nc1)C1=NC(=N[N-]1)c1ccncc1,"[10, 4]",[]
1,8.336873,46.9,-6.075449,42.9,0.015644,22.3,-4.790211,21.1,Nc1ncc(cn1)c1ccc(nc1)c1ccccn1,"[11, 18]","[{'functional_group': 'phosphonate', 'smiles_inds': [9]}]"
1,8.712737,48.6,-5.198215,48.6,0.010518,16.6,-2.901744,30.3,O=C1c2cccc3cccc(C1=Nc1ccccc1)c23,"[0, 12]","[{'functional_group': 'tribromo', 'smiles_inds': [18]}, {'functional_group': 'methyl_ester', 'smiles_inds': [5]}]"
1,8.853949,50.3,-8.270182,33.1,0.005211,6.9,-2.026205,49.1,O=Cc1ccncc1,[5],"[{'functional_group': '2-hydroxypyridine', 'smiles_inds': [6]}]"
1,9.007917,50.9,-14.896321,9.1,0.295194,76.6,-8.503547,5.7,[NH3+]C12CNCCSCC(CO)(CSCCNC1)CSCCNC2,"[6, 12, 18, 3, 15, 21]","[{'functional_group': 'chloro', 'smiles_inds': [9]}]"
1,9.223894,52.0,-7.129147,37.7,0.002343,4.0,-0.821125,74.3,CCOC(=O)c1ccc(nc1)c1ccc(cn1)C(=O)OCC,"[9, 16]",[]
1,10.054506,56.6,-14.226569,10.9,0.172469,69.7,-7.866238,7.4,CC12CNCCNCC([NH2+]CC3=CSC=C3)(CNCCNC1)CNCCNC2,"[17, 26, 20, 6, 23, 3]",[]
1,10.585014,58.9,-1.673431,80.6,0.288040,76.0,-8.358602,5.7,CN1N(C(=O)C(=C1C)N=Cc1cc(Br)ccc1[O-])c1ccccc1,"[8, 4, 17]",[]
1,10.880381,60.0,-7.821425,36.0,0.095860,62.3,-5.034912,19.4,O=N(=O)C12CNCCN3CCN(CCNC1)CCN(CCNC2)CC3,"[14, 8, 11, 21, 18, 5]","[{'functional_group': 'methyl_ester', 'smiles_inds': [20]}]"
1,10.903242,61.1,-3.060818,60.6,0.038943,42.3,-13.517860,1.1,OCC(N=Cc1cc(ccc1[O-])N(=O)=O)c1ccccc1,"[11, 0, 3]",[]
1,12.165124,68.0,-3.295836,60.6,0.013275,21.7,-5.148594,18.3,O=C([O-])C1=CNC=N1,"[2, 7]",[]
