generation,num_attempted,num_proposed,num_retained,num_selected_A,num_selected_B,num_valid,num_repeated,num_success_repeated,num_timeout,avg_time_success,avg_time_fail,ei_avg,sp_avg,ei_sel_avg,sp_sel_avg,added_points,size_pareto,num_group_A,num_group_B,num_group_C
1,500,500,500,-1,-1,193,0,0,61,896.98703600335,226.08520517698148,0,0,0,0,34,34,500,0,0
2,57582,49880,3000,2850,150,152,0,0,34,725.409126543685,198.95617875090818,0.4347862068965518,0.4479312783407375,0.8456266666666667,0.49562609781741285,23,43,40606,4636,4638
3,57264,49885,3000,2850,150,91,0,0,64,746.7091760373378,386.8060948339002,0.3330715044602585,0.43474379804437757,0.6783199999999999,0.3054435401685597,12,55,40627,4470,4788
4,57402,49898,3000,2850,150,134,0,0,61,757.2212212067932,372.4474305402665,0.27980640506633536,0.44146999851177743,0.6429333333333334,0.4199549923283794,22,77,40675,4531,4692
5,56965,49910,3000,2850,150,111,0,0,56,908.8845463851551,469.02607177433214,0.3115656181126027,0.4495679597961739,0.6535333333333333,0.3660579544381049,23,98,40636,4640,4634
6,56984,49874,3000,2850,150,102,0,0,59,903.6234630930658,508.18150572125,0.2972392829931427,0.45379550479603253,0.6335066666666667,0.3279442434616966,20,115,40423,4977,4474
7,56921,49887,3000,2850,150,111,0,0,55,879.334105117901,491.3127860275667,0.28361416801972456,0.45917150101714105,0.6035066666666666,0.3497731184323121,19,133,40447,5083,4357
8,56877,49898,3000,2850,150,96,0,0,61,914.8012130608162,405.2160362563767,0.275706120485791,0.46282123674780623,0.6065333333333333,0.3495499354594623,16,149,40327,5109,4462
9,57108,49893,3000,2850,150,92,0,0,65,852.3545642391495,480.7111432972089,0.289284669192071,0.4614339204454471,0.6156120401337793,0.30035310008720084,15,158,40292,5184,4417
10,57091,49891,3000,2850,150,85,0,0,68,1011.9119659059188,449.4737147911876,0.29180060531959673,0.4596287175097787,0.6333333333333333,0.28367731724385636,17,174,40237,5259,4395
11,57138,49888,3000,2850,150,94,0,0,68,915.8085679728935,529.0292193751404,0.26881582745349586,0.4616215906398476,0.60296,0.2944860896163601,8,109,40335,5283,4270
12,56775,49906,3000,2850,150,90,0,0,61,940.7299794514973,421.3806014284992,0.2522292309541939,0.4446465777413599,0.6091466666666666,0.2950620748753257,10,114,40049,4952,4905
13,56866,49895,3000,2850,150,79,0,0,69,823.9241227107711,519.5175690697996,0.2603633229782544,0.44578211806679074,0.6047733333333334,0.26050162413875244,10,122,39992,4941,4962
14,56643,49892,3000,2850,150,102,0,0,55,800.7432762758405,476.0264854864641,0.24432598412571155,0.4510893779099083,0.6020133333333333,0.3329225953513892,12,134,39857,5084,4951
15,56657,49905,3000,2850,150,87,0,0,69,842.8631494922199,450.1601303534375,0.2296496142671075,0.45102214878146146,0.5682533333333333,0.2975390235303126,13,147,39944,4892,5069
16,56853,49897,3000,2850,150,106,0,0,46,855.1372812716467,424.6437418766924,0.2339274104655591,0.45330410728385295,0.5818133333333333,0.31871663601032774,16,162,39806,5028,5063
17,56932,49900,3000,2850,150,109,0,0,64,837.1452820738522,386.22557391895083,0.22999543086172347,0.4594888757260608,0.5854133333333335,0.36800390500726105,13,169,39973,4983,4944
18,57161,49895,3000,2850,150,112,0,0,69,766.1007959118912,441.75986494737515,0.22428716304238905,0.45852304335830474,0.5711066666666667,0.34965344684243055,19,188,39981,4998,4916
19,57078,49890,3000,2850,150,107,0,0,54,832.6377756840715,454.1912824421478,0.20871172579675287,0.46141715526695637,0.5498133333333333,0.3661642528218588,18,205,39760,5167,4963
20,57194,49891,3000,2850,150,115,0,0,64,832.3159768913104,458.81475763478556,0.19845406987232167,0.4601955247937132,0.54828,0.37439750840094116,19,217,40067,4940,4884
21,57126,49889,3000,2850,150,124,0,0,53,760.7177374305263,466.43557295566654,0.2211031690352583,0.4459582179634934,0.5863333333333333,0.3707865307295494,21,228,39944,5030,4915
22,57456,49887,3000,2850,150,117,0,0,55,853.0966522082305,360.6500448063016,0.18840307094032513,0.4516421714378104,0.5608666666666666,0.3944972379239777,21,246,39983,5074,4830
23,57334,49899,3000,2850,150,123,0,0,54,800.4682485126867,422.88784566545877,0.2165996112146536,0.4542758501408758,0.5797866666666667,0.40772131835986225,12,243,40039,4991,4869
24,57570,49907,3000,2850,150,135,0,0,43,807.317357663755,371.56403682075563,0.19105856893822512,0.4525395671015499,0.5614266666666666,0.43049025944825225,20,257,40187,4870,4850
25,57583,49892,3000,2850,150,116,0,0,64,863.4104112078404,429.0765818695227,0.19605531949009863,0.4589005333225491,0.5537866666666668,0.3664201878326548,18,272,40251,4910,4731
26,57577,49896,3000,2850,150,126,0,0,57,871.8609931147288,361.2562761693938,0.2042552509219176,0.4585528913428788,0.5792133333333332,0.4466128962413199,17,287,40247,4959,4690
27,57731,49888,3000,2850,150,111,0,0,52,890.7139062516325,378.8813294198391,0.19018762026940347,0.4574439323325357,0.5538,0.3659624653577242,11,297,40147,4978,4763
28,57607,49891,3000,2850,150,115,0,0,57,832.5174794217814,370.58187572285533,0.19601411076146,0.4584088650678999,0.5503066666666666,0.39958831938035955,13,308,40216,4938,4737
29,57594,49883,3000,2850,150,119,0,0,45,804.8762428980915,450.08299251514325,0.16965106348856324,0.4623754765798917,0.5364000000000001,0.3884042790514795,13,320,40041,5041,4801
30,57861,49875,3000,2850,150,113,0,0,56,905.3518297862163,419.4601821062219,0.17681299248120302,0.46657125265579225,0.5476933333333333,0.353655858043081,19,338,40058,5034,4783
31,57689,49906,3000,2850,150,122,0,0,45,886.1613675414538,393.8158038935267,0.16685889472207754,0.45750605944575345,0.5224533333333333,0.3839644167606108,19,357,39984,5171,4751
32,57587,49896,3000,2850,150,107,0,0,70,924.9953881112215,455.81135500931157,0.15958369408369408,0.46208045883818244,0.5137466666666668,0.3456141474122681,13,327,39992,5281,4623
33,58015,49889,3000,2850,150,113,0,0,54,865.5454955733983,422.16547352747807,0.16801747880294257,0.4567331826880884,0.5386933333333332,0.3509950836494616,11,337,40072,5277,4540
34,58090,49890,3000,2850,150,116,0,0,55,877.39640610588,415.13570376884104,0.16943868510723592,0.4558448170046813,0.5506133333333333,0.35633936085309564,12,349,40044,5253,4593
35,57977,49892,3000,2850,150,121,0,0,52,869.5972976822499,392.80580407991187,0.15947566744167405,0.4609402387276207,0.4995466666666667,0.388705906592626,17,361,39885,5461,4546
36,58186,49890,3000,2850,150,115,0,0,58,860.3662574208302,384.406772731796,0.14589857686911206,0.45346839974713293,0.5064799999999999,0.3803280652556763,12,371,40098,5341,4451
37,58091,49885,3000,2850,150,121,0,0,52,775.4537745980192,392.4877859720095,0.15635529718352212,0.45762112381266656,0.5240533333333334,0.40384326073100224,14,384,40157,5189,4539
38,58197,49885,3000,2850,150,113,0,0,59,777.8977706179155,400.2124732080847,0.15418302094818084,0.4515938486869252,0.4938133333333333,0.39533324797759034,13,393,39911,5433,4541
39,58334,49899,3000,2850,150,140,0,0,52,825.9200338295528,453.9833130725076,0.146636686105934,0.45962385571218856,0.48180602006688966,0.45167176646131935,15,407,40025,5315,4559
40,58640,49871,3000,2850,150,129,0,0,42,884.122360586196,459.2379115792208,0.1488398468047563,0.45253336937850785,0.48914666666666656,0.359793093036952,18,414,40072,5289,4510
41,58470,49889,3000,2850,150,116,0,0,52,770.90629542285,471.7348354531057,0.15179546593437432,0.43964939158726857,0.4974266666666667,0.3746101082798041,14,428,40187,5410,4292
