generation,sco_kcal,sco_kcal_percentile,octanol_gsolv_eV,octanol_gsolv_eV_percentile,octanol_hl_gap_eV,octanol_hl_gap_eV_percentile,octanol_dipole,octanol_dipole_percentile,SMILES,coordList,functionalization
1,0.099537,0.0,-2.106378,69.4,0.022454,25.9,-3.834332,28.5,C1CN=C(CN2[C-]=Cc3ccccc23)O1,"[6, 2]",[]
1,0.242619,0.5,-9.278987,30.6,0.001600,0.5,-0.355754,91.7,Cc1cc2N=C(Nc2c(c1C)N(=O)=O)C1=Nc2cc(C)c(C)c(c2N1)N(=O)=O,"[4, 15]",[]
1,0.380136,1.6,-6.488847,40.4,0.044110,44.0,-2.256407,47.7,CC1=NC(=CN1)C=NC1CCCCC1N,"[2, 7, 14]","[{'functional_group': 'carboxylate', 'smiles_inds': [4]}]"
1,0.435392,2.1,-5.593466,43.5,0.013225,15.0,-1.588428,61.7,C[Si](C)(C)CSc1cccc2cccnc12,"[5, 14]",[]
1,0.523548,2.6,-2.833868,62.7,0.041725,44.0,-1.984737,53.4,CC(C)=CCC1=C([O-])C(=O)c2ccccc2C1=O,"[9, 7]",[]
1,0.840346,4.1,-6.161649,41.5,0.100993,62.2,-4.086619,28.0,S=C(NCCc1ccccc1)NN=Cc1ccccn1,"[0, 19, 12]","[{'functional_group': 'bromo', 'smiles_inds': [18]}]"
1,0.991059,5.7,-1.316873,83.9,0.155116,69.4,-5.686581,17.6,Brc1ccc([O-])c(C=NNc2ccccn2)c1,"[5, 8, 15]","[{'functional_group': 'carboxylate', 'smiles_inds': [13]}, {'functional_group': 'hydroxyl', 'smiles_inds': [3]}, {'functional_group': 'amino', 'smiles_inds': [14]}]"
1,1.033306,6.2,-2.334714,67.9,0.011567,14.0,-4.628187,24.9,CC(N)c1cccc[c-]1,"[2, 8]",[]
1,1.108206,6.7,-5.769697,43.5,0.018135,20.7,-0.843029,81.3,CN1c2ccccc2N=C1c1ncccn1,"[8, 11]","[{'functional_group': 'trifluro', 'smiles_inds': [14]}]"
1,1.118449,7.3,-6.023027,42.5,0.011219,14.0,-1.540852,62.7,c1ccc(cc1)c1cccnn1,[10],"[{'functional_group': 'trichloro', 'smiles_inds': [8]}, {'functional_group': 'aldehyde', 'smiles_inds': [4]}]"
1,1.213604,8.3,-7.050682,39.4,5.415444,100.0,-0.429377,90.2,CN(CCN)CCN,"[4, 1, 7]",[]
1,1.236492,8.8,-2.317456,67.9,0.483724,87.6,-11.133808,4.1,O=C1c2ccccc2C(=O)c2c(cccc12)[N-]Cc1ccccn1,"[23, 9, 16]","[{'functional_group': 'phenyl', 'smiles_inds': [22]}]"
1,1.299434,9.8,-2.468262,66.8,0.003365,3.1,-2.944266,36.8,c1ccc(nc1)C1=NN=C[N-]1,"[4, 10]",[]
1,1.588149,10.9,-2.470872,66.8,0.037408,40.4,-1.612213,59.1,CC1=C([O-])C(=O)c2ccccc2C1=O,"[5, 3]","[{'functional_group': 'ethyl_ester', 'smiles_inds': [7]}]"
1,1.782917,11.9,-5.866588,43.0,0.005511,6.2,-0.915232,78.8,N1c2ccccc2c2ccnc(C3=Nc4ccccc4S3)c12,"[13, 10]","[{'functional_group': 'ketone', 'smiles_inds': [5]}, {'functional_group': 'tribromo', 'smiles_inds': [17]}]"
1,2.104774,13.0,-6.513262,40.4,0.017203,20.2,-0.543508,86.5,N1C=CC(=N1)C1=Nc2ccccc2S1,"[6, 4]","[{'functional_group': 'cyano', 'smiles_inds': [9]}]"
1,2.218947,13.5,-10.649903,26.4,0.022773,25.9,-2.321919,47.2,CN1C(=C(N)C(=O)N(C)C1=O)N,"[11, 4]","[{'functional_group': 'tribromo', 'smiles_inds': [8]}]"
1,2.479582,16.1,-30.255216,2.6,0.038869,41.5,-2.975372,36.3,NC1=NC2=[NH+]CCN=C2C(=O)N1,"[10, 7]","[{'functional_group': 'thiol', 'smiles_inds': [0]}, {'functional_group': 'cyano', 'smiles_inds': [6]}]"
1,3.084391,17.1,-1.667300,77.7,0.292699,78.8,-8.526773,8.8,CCCNCCN=Cc1c([O-])ccc2ccccc12,"[10, 6, 3]","[{'functional_group': 'ketone', 'smiles_inds': [16]}, {'functional_group': '2-methylbenzoic_acid', 'smiles_inds': [12]}, {'functional_group': '2-methylbenzoic_acid', 'smiles_inds': [7]}]"
1,3.109617,18.1,-6.097271,42.0,0.307754,79.3,-8.457850,8.8,CN(C)C([S-])=NN=Cc1cc(I)cc(I)c1[O-],"[4, 6, 16]",[]
1,5.414328,24.4,-6.739780,40.4,1.079137,95.9,-4.988201,21.2,CSC(N)=NN=Cc1c([O-])c(C)[nH+]cc1CO,"[9, 5, 3]","[{'functional_group': 'hydroxyl', 'smiles_inds': [6]}, {'functional_group': 'bromo', 'smiles_inds': [11]}]"
1,5.468330,24.9,-10.933972,25.4,0.577349,91.2,-4.761445,23.3,O=C1NC=NN1,[4],[]
1,5.739357,26.4,-5.812793,43.5,0.031448,36.8,-2.448236,45.6,C1CCN(CC1)N=Cc1ccccn1,"[13, 6]",[]
1,6.843032,34.2,-1.791167,73.6,0.075951,56.5,-7.165922,12.4,Clc1cccc(NN=Cc2cc(Br)cc(Br)c2[O-])n1,"[18, 17, 7]",[]
1,7.290981,36.3,-5.754402,43.5,0.005849,6.2,-1.794688,55.4,Cc1cnc(cc1C)c1ccccn1,"[13, 3]",[]
1,7.424733,36.8,-7.776827,33.7,0.013517,15.0,-3.551879,31.6,CC1=CC(=NN1)CC(=O)Nc1ccccc1NC(=O)c1ccccc1,"[8, 4]",[]
1,7.479411,37.3,-2.525203,66.3,0.006524,7.3,-6.998473,12.4,O=Cc1ccc(C=NC2CCCCC2)[c-]c1,"[7, 14]",[]
1,7.728737,38.3,-26.676590,2.6,0.017007,20.2,-22.028317,0.5,[NH3+]CCNC(=O)c1ccnc(c1)c1cc(C)ccn1,"[18, 9]",[]
1,7.770538,39.4,-5.912090,43.0,0.000548,0.0,-3.537761,31.6,Oc1ccccc1c1ccnc(c1)c1ccccn1,"[18, 10]",[]
1,8.002926,40.4,-2.870603,61.7,0.005933,6.2,-8.748732,7.8,Fc1c(F)c(F)c(c(F)c1F)C1=N[N-]C(=N1)c1ccccn1,"[21, 13]","[{'functional_group': 'ethyl_ester', 'smiles_inds': [20]}]"
1,8.066890,40.9,-9.040084,31.1,0.006650,7.3,-5.816187,17.6,O=C1N(Cc2ccncc2)C(=O)c2cccc3cccc1c23,[7],[]
1,8.250371,43.0,-3.775049,53.4,0.001331,0.5,-3.558418,31.6,Nc1nc([S-])c2N=CNc2n1,"[4, 6]",[]
1,9.314093,46.6,-6.318284,40.9,0.009141,11.4,-22.416078,0.5,OCc1ccc(cn1)c1ccc(cc1)C(=O)[O-],"[0, 7]",[]
1,17.806555,75.6,-5.664877,43.5,0.003014,1.0,-7.255599,12.4,CN(CC[O-])Cc1cc(C)cc(C)c1[O-],"[14, 4, 1]",[]
2,0.099537,0.0,-2.106378,77.7,0.022454,31.6,-3.834332,35.4,C1CN=C(CN2[C-]=Cc3ccccc23)O1,"[6, 2]",[]
2,0.104408,0.3,-6.724936,44.9,0.021425,30.4,-0.261647,93.0,O=C(C1=NC=CN1)C1=NC=CN1,"[3, 8]","[{'functional_group': 'cyano', 'smiles_inds': [10]}]"
2,0.242619,0.6,-9.278987,34.8,0.001600,2.3,-0.355754,90.1,Cc1cc2N=C(Nc2c(c1C)N(=O)=O)C1=Nc2cc(C)c(C)c(c2N1)N(=O)=O,"[4, 15]",[]
2,0.295598,1.2,-3.568445,62.0,0.112689,69.3,-3.126140,41.7,S=C1NC(=C(N=C1[S-])C#N)C#N,"[0, 7]","[{'functional_group': 'carboxylate', 'smiles_inds': [2]}]"
2,0.347258,1.4,-6.616192,44.9,0.057434,55.1,-0.427201,89.0,C(NCc1ccccn1)c1ccccn1,"[14, 1, 8]","[{'functional_group': 'ketone', 'smiles_inds': [7]}, {'functional_group': 'cyano', 'smiles_inds': [6]}]"
2,0.380136,1.7,-6.488847,45.2,0.044110,49.0,-2.256407,53.0,CC1=NC(=CN1)C=NC1CCCCC1N,"[2, 7, 14]","[{'functional_group': 'carboxylate', 'smiles_inds': [4]}]"
2,0.405812,2.0,-5.513495,49.0,0.177956,75.9,-2.272663,52.8,CSCCC(O)(C1=NC=CN1C)C1=NC=CN1C,"[7, 13]",[]
2,0.435392,2.3,-5.593466,48.7,0.013225,20.3,-1.588428,66.4,C[Si](C)(C)CSc1cccc2cccnc12,"[5, 14]",[]
2,0.503007,2.6,-9.825666,33.3,0.224310,78.3,-5.058064,28.4,CN1C(CCC1=O)c1cccnc1,[11],"[{'functional_group': 'bromo', 'smiles_inds': [10]}]"
2,0.504084,2.9,-6.542427,45.2,0.016128,23.8,-1.719110,63.2,N1C=NC(=N1)c1cnccn1,"[2, 10]",[]
2,0.523548,3.2,-2.833868,69.9,0.041725,48.4,-1.984737,59.4,CC(C)=CCC1=C([O-])C(=O)c2ccccc2C1=O,"[9, 7]",[]
2,0.840346,4.1,-6.161649,46.7,0.100993,67.8,-4.086619,34.5,S=C(NCCc1ccccc1)NN=Cc1ccccn1,"[0, 19, 12]","[{'functional_group': 'bromo', 'smiles_inds': [18]}]"
2,0.991059,5.2,-1.316873,89.9,0.155116,75.4,-5.686581,24.3,Brc1ccc([O-])c(C=NNc2ccccn2)c1,"[5, 8, 15]","[{'functional_group': 'carboxylate', 'smiles_inds': [13]}, {'functional_group': 'hydroxyl', 'smiles_inds': [3]}, {'functional_group': 'amino', 'smiles_inds': [14]}]"
2,1.033306,5.5,-2.334714,75.7,0.011567,18.8,-4.628187,31.6,CC(N)c1cccc[c-]1,"[2, 8]",[]
2,1.118449,6.1,-6.023027,47.2,0.011219,18.8,-1.540852,67.0,c1ccc(cc1)c1cccnn1,[10],"[{'functional_group': 'trichloro', 'smiles_inds': [8]}, {'functional_group': 'aldehyde', 'smiles_inds': [4]}]"
2,1.236492,7.0,-2.317456,76.2,0.483724,90.1,-11.133808,5.5,O=C1c2ccccc2C(=O)c2c(cccc12)[N-]Cc1ccccn1,"[23, 9, 16]","[{'functional_group': 'phenyl', 'smiles_inds': [22]}]"
2,1.299434,7.5,-2.468262,73.6,0.003365,4.9,-2.944266,42.9,c1ccc(nc1)C1=NN=C[N-]1,"[4, 10]",[]
2,1.299434,7.5,-2.468262,73.6,0.003365,4.9,-2.944266,42.9,c1ccc(nc1)C1=NN=C[N-]1,"[4, 10]","[{'functional_group': 'carboxylate', 'smiles_inds': [0]}, {'functional_group': 'ketone', 'smiles_inds': [1]}]"
2,1.300710,8.1,-5.938484,47.5,0.006529,11.6,-3.027383,42.0,C1NCC2=C1OC(=N2)c1ccccn1,"[7, 13]","[{'functional_group': 'aldehyde', 'smiles_inds': [10]}]"
