generation,num_attempted,num_proposed,num_retained,num_selected_A,num_selected_B,num_valid,num_repeated,num_success_repeated,num_timeout,avg_time_success,avg_time_fail,ei_avg,sp_avg,ei_sel_avg,sp_sel_avg,added_points,size_pareto,num_group_A,num_group_B,num_group_C
1,500,500,500,-1,-1,164,0,0,81,1132.728480232925,245.63908073668387,0,0,0,0,36,36,500,0,0
2,57215,49882,3000,2850,150,40,0,0,96,949.2073226511478,732.1420091826741,0.5484890742151478,0.35330174639545564,0.9306933333333333,0.10004673454732418,16,47,40365,4807,4710
3,57134,49884,3000,2850,150,48,0,0,96,788.7973341892163,705.8148984526977,0.49004594659610295,0.3656871499390945,0.8609733333333335,0.13198510008996056,16,61,40678,4445,4761
4,56999,49897,3000,2850,150,93,0,0,81,813.6243484814962,661.331960619442,0.45715662264264384,0.36003078817199247,0.83524,0.2646993441350658,26,87,40573,4559,4765
5,56631,49910,3000,2850,150,86,0,0,95,773.6681850899098,679.9580764950824,0.4847461430575035,0.3784510588087963,0.79948,0.2684039250732839,20,104,40380,4811,4719
6,56634,49874,3000,2850,150,82,0,0,79,879.8680179060959,485.77015439383416,0.48797457593134697,0.3835093834565932,0.7860133333333335,0.26072612442930115,25,116,40223,5016,4635
7,56762,49888,3000,2850,150,97,0,0,87,825.6255893903909,564.562569710715,0.4917220974983964,0.38074615121075,0.77028,0.3173550128624472,25,127,40346,5012,4530
8,57074,49896,3000,2850,150,130,0,0,65,847.9915768329914,356.1909218197777,0.49111271444604776,0.38485481702001423,0.75248,0.4250731801747811,32,134,40509,4982,4405
9,57044,49894,3000,2850,150,124,0,0,55,828.3729924751866,392.92253097029754,0.5144139175051108,0.401430102202018,0.76996,0.3924336787646005,29,153,40275,5272,4347
10,57011,49895,3000,2850,150,126,0,0,54,881.3809086330353,218.56208402514457,0.4981703176671009,0.39451917171753276,0.7606,0.43082204658648077,21,160,40308,5244,4343
11,57170,49888,3000,2850,150,137,0,0,36,844.6591979587165,292.40334540464744,0.6799563822963439,0.3964502316065984,0.94516,0.44829431667251657,25,185,40571,5119,4198
12,57218,49907,3000,2850,150,134,0,0,69,842.613059319667,137.4208779236705,0.6821360530586892,0.39282598645073397,0.9527466666666669,0.564203471353483,21,203,40427,5274,4206
13,57317,49897,3000,2850,150,130,0,0,59,923.9172114060475,162.023444029662,0.6524239132613183,0.3914719742612619,0.9259733333333334,0.4785011903395783,28,214,40399,5156,4342
14,57151,49892,3000,2850,150,139,0,0,49,906.0117934401944,136.73523009462016,0.6659683315962479,0.3944329790613275,0.9397733333333333,0.5164604691259123,28,237,40280,5342,4270
15,57017,49907,3000,2850,150,133,0,0,53,958.2094271541538,157.14174882361763,0.6613069910032661,0.3945763520417261,0.9573333333333333,0.4804426877736485,24,221,40293,5173,4441
16,57409,49897,3000,2850,150,120,0,0,51,885.3155847211679,156.33241054069165,0.6750509249053049,0.39285918271429954,0.9366000000000001,0.40191198553752466,17,236,40355,5200,4342
17,57277,49900,3000,2850,150,114,0,0,55,863.5221415820874,218.02152735768382,0.6896325450901805,0.39483155556009464,0.9451333333333332,0.37826758754514345,26,250,40381,5175,4344
18,57188,49894,3000,2850,150,126,0,0,48,830.8043446067779,142.83779478451564,0.6550826151441056,0.39517609306487467,0.9345466666666667,0.4288909659250864,16,232,40243,5252,4399
19,57426,49891,3000,2850,150,114,0,0,59,930.0157150552984,137.36597905947468,0.6947244192339299,0.39766664131558316,0.9431733333333333,0.426945211011293,21,252,40219,5312,4360
20,57325,49887,3000,2850,150,121,0,0,40,840.7362768925911,151.37302830236422,0.656535129392427,0.3913552220508624,0.9176666666666669,0.3910732545065648,18,248,40343,5263,4281
