generation,sco_kcal,sco_kcal_percentile,octanol_gsolv_eV,octanol_gsolv_eV_percentile,octanol_hl_gap_eV,octanol_hl_gap_eV_percentile,octanol_dipole,octanol_dipole_percentile,SMILES,coordList,functionalization
1,0.001979,0.0,-1.239367,84.8,0.674861,92.7,-4.981966,20.1,CC(=NN=C([O-])c1ccc(Cl)cc1)c1ccccn1,"[18, 2, 5]",[]
1,0.099537,0.6,-2.106378,67.1,0.022454,27.4,-3.834332,26.8,C1CN=C(CN2[C-]=Cc3ccccc23)O1,"[6, 2]",[]
1,0.242619,1.2,-9.278987,29.9,0.001600,1.2,-0.355754,90.2,Cc1cc2N=C(Nc2c(c1C)N(=O)=O)C1=Nc2cc(C)c(C)c(c2N1)N(=O)=O,"[4, 15]",[]
1,0.278356,1.8,-2.916351,61.0,0.039687,39.6,-1.601156,59.1,N=C(c1ccccc1)C1=C([O-])c2ccccc2OC1=O,"[10, 0]",[]
1,0.380136,3.0,-6.488847,39.6,0.044110,43.3,-2.256407,47.6,CC1=NC(=CN1)C=NC1CCCCC1N,"[2, 7, 14]","[{'functional_group': 'carboxyllic_acid', 'smiles_inds': [13]}, {'functional_group': 'ether', 'smiles_inds': [0]}]"
1,1.108206,5.5,-5.769697,41.5,0.018135,23.2,-0.843029,76.2,CN1c2ccccc2N=C1c1ncccn1,"[8, 11]","[{'functional_group': 'trifluro', 'smiles_inds': [6]}]"
1,1.228031,6.1,-7.050082,38.4,5.425388,100.0,-0.429757,89.0,CN(CCN)CCN,"[4, 1, 7]",[]
1,1.236492,7.3,-2.317456,65.9,0.483724,87.2,-11.133808,3.0,O=C1c2ccccc2C(=O)c2c(cccc12)[N-]Cc1ccccn1,"[23, 9, 16]","[{'functional_group': 'carboxyllic_acid', 'smiles_inds': [22]}, {'functional_group': 'chloro', 'smiles_inds': [13]}, {'functional_group': 'carboxyllic_acid', 'smiles_inds': [12]}]"
1,1.299434,7.9,-2.468262,65.9,0.003365,4.3,-2.944266,36.0,c1ccc(nc1)C1=NN=C[N-]1,"[4, 10]",[]
1,1.591722,8.5,-5.932224,41.5,0.029078,32.9,-0.403330,89.0,Cc1ccc(cc1)N=NC1=NC=CN1,"[10, 7]","[{'functional_group': 'amide', 'smiles_inds': [0]}]"
1,1.614550,9.1,-1.324645,82.9,0.163025,70.1,-5.662195,15.9,Brc1ccc([O-])c(C=NNc2ccccn2)c1,"[5, 8, 15]","[{'functional_group': 'iodo', 'smiles_inds': [7]}]"
1,1.671939,9.8,-6.538844,39.6,0.104956,62.2,-2.313868,46.3,CC(C)(C)CC1=CC(=NN1)c1cccc(n1)C1=NNC(=C1)CC(C)(C)C,"[8, 15, 17]","[{'functional_group': '2-methylbenzoic_acid', 'smiles_inds': [18]}]"
1,1.782917,11.0,-5.866588,41.5,0.005511,7.9,-0.915232,74.4,N1c2ccccc2c2ccnc(C3=Nc4ccccc4S3)c12,"[13, 10]","[{'functional_group': 'ethyl_ester', 'smiles_inds': [2]}, {'functional_group': 'tribromo', 'smiles_inds': [5]}]"
1,1.961467,11.6,-2.505272,65.2,0.032954,36.0,-7.761293,7.9,O=Cc1ccc(C=NC2CCCCC2)[c-]c1,"[7, 14]",[]
1,2.104774,12.2,-6.513262,39.6,0.017203,22.0,-0.543508,86.0,N1C=CC(=N1)C1=Nc2ccccc2S1,"[6, 4]","[{'functional_group': 'tribromo', 'smiles_inds': [0]}]"
1,2.153833,12.8,-10.764141,25.0,0.011538,15.2,-2.455551,44.5,CN1C(=C(N)C(=O)N(C)C1=O)N,"[11, 4]","[{'functional_group': 'trifluro', 'smiles_inds': [0]}]"
1,2.319572,14.0,-6.131517,40.2,0.107044,62.2,-4.403020,24.4,S=C(NCCc1ccccc1)NN=Cc1ccccn1,"[0, 19, 12]","[{'functional_group': 'phenyl', 'smiles_inds': [11]}]"
1,2.870561,15.2,-1.681463,77.4,0.291708,75.6,-8.637019,7.9,CCCNCCN=Cc1c([O-])ccc2ccccc12,"[10, 6, 3]","[{'functional_group': 'fluoro', 'smiles_inds': [16]}, {'functional_group': 'ethyl', 'smiles_inds': [1]}, {'functional_group': 'cyanimide', 'smiles_inds': [17]}]"
1,3.265212,17.1,-2.329460,65.9,0.013326,15.9,-4.620309,23.2,CC(N)c1cccc[c-]1,"[2, 8]",[]
1,3.344142,17.7,-30.222870,1.8,0.036769,37.8,-3.251027,31.7,NC1=NC2=[NH+]CCN=C2C(=O)N1,"[10, 7]","[{'functional_group': 'carboxyl', 'smiles_inds': [0]}]"
1,3.499803,18.9,-6.103124,40.9,0.306866,77.4,-8.490472,7.9,CN(C)C([S-])=NN=Cc1cc(I)cc(I)c1[O-],"[4, 6, 16]",[]
1,4.020695,21.3,-6.568050,39.6,0.424727,86.0,-3.412437,31.1,Nc1ccccc1SCc1ccccn1,"[7, 0, 14]",[]
1,5.021782,25.0,-6.130649,40.2,0.010223,12.2,-2.071449,51.8,CNC(=S)NN=CC1=CNC(=N1)C,"[3, 11, 5]","[{'functional_group': 'carbonyl', 'smiles_inds': [1]}]"
1,5.428985,26.8,-3.363078,57.3,0.018242,23.2,-4.239107,25.6,O=C([O-])c1ncccc1OC(=O)C1CC2CC1C=C2,"[2, 4]",[]
1,5.500658,28.0,-10.936374,24.4,0.572389,90.9,-4.770531,21.3,O=C1NC=NN1,[4],[]
1,7.290981,38.4,-5.754402,41.5,0.005849,7.9,-1.794688,56.1,Cc1cnc(cc1C)c1ccccn1,"[13, 3]",[]
1,7.365579,39.0,-6.480201,39.6,0.109342,62.2,-10.347048,4.3,CCN(CC)c1ccc(C=Nc2cc(ccc2[O-])N(=O)=O)c([O-])c1,"[17, 10, 22]","[{'functional_group': 'amide', 'smiles_inds': [12]}]"
1,7.424733,39.6,-7.776827,34.1,0.013517,15.9,-3.551879,31.1,CC1=CC(=NN1)CC(=O)Nc1ccccc1NC(=O)c1ccccc1,"[8, 4]",[]
1,7.770538,41.5,-5.912090,41.5,0.000548,0.0,-3.537761,31.1,Oc1ccccc1c1ccnc(c1)c1ccccn1,"[18, 10]",[]
1,8.002926,42.7,-2.870603,61.6,0.005933,7.9,-8.748732,6.7,Fc1c(F)c(F)c(c(F)c1F)C1=N[N-]C(=N1)c1ccccn1,"[21, 13]","[{'functional_group': 'tribromo', 'smiles_inds': [20]}]"
1,8.290331,43.9,-3.772841,53.0,0.001163,1.2,-3.584890,29.9,Nc1nc([S-])c2N=CNc2n1,"[4, 6]",[]
1,8.408067,45.1,-6.043979,40.9,0.009609,12.2,-1.653724,57.9,c1ccc(cc1)c1cccnn1,[10],"[{'functional_group': 'fluoro', 'smiles_inds': [9]}, {'functional_group': 'bromo', 'smiles_inds': [1]}]"
1,8.594132,45.7,-6.315336,39.6,0.005111,7.3,-22.450081,0.6,OCc1ccc(cn1)c1ccc(cc1)C(=O)[O-],"[0, 7]",[]
1,15.494202,71.3,-11.188382,23.8,0.105380,62.2,-5.231998,18.9,CC1=C(C(=NN1)C)N(=O)=O,[4],[]
1,26.134691,89.6,-3.318816,57.3,0.004495,7.3,-7.219097,9.1,O1C(=NN=C1c1ccc([c-]c1)c1ccccn1)c1ccccc1,"[9, 16]","[{'functional_group': 'methyl', 'smiles_inds': [18]}, {'functional_group': 'ether', 'smiles_inds': [13]}]"
1,70.871111,99.4,-6.349210,39.6,0.013331,15.9,-2.524568,43.3,C1[NH+]=[C-]C=C1,[2],"[{'functional_group': 'phosphonate', 'smiles_inds': [1]}]"
2,0.001979,0.0,-1.239367,87.3,0.674861,93.1,-4.981966,22.5,CC(=NN=C([O-])c1ccc(Cl)cc1)c1ccccn1,"[18, 2, 5]",[]
2,0.004499,0.5,-5.993636,42.6,0.732184,93.6,-2.688255,43.6,CSCCC1=CNC(=N1)CC1=NC=CN1,"[1, 8, 11]",[]
2,0.099537,1.0,-2.106378,69.6,0.022454,29.9,-3.834332,30.4,C1CN=C(CN2[C-]=Cc3ccccc23)O1,"[6, 2]",[]
2,0.124234,1.5,-2.618486,65.7,0.027975,34.8,-3.358784,34.8,COc1cc(F)c(c(F)c1)c1cccc(n1)C(N(Cc1ccccn1)Cc1ccccn1)c1cccc(n1)c1c(F)cc(OC)cc1[O-],"[24, 17, 31, 37, 15, 47]","[{'functional_group': 'phenyl', 'smiles_inds': [28]}]"
2,0.190964,2.0,-6.885441,40.2,0.124436,66.7,-2.163047,53.4,NC(=NN1C(Nc2ccccc2C1=O)C1=NC=CN1)c1cc(ccn1)c1ccccc1,"[24, 2, 15]","[{'functional_group': 'ketone', 'smiles_inds': [29]}, {'functional_group': 'ethyl', 'smiles_inds': [22]}]"
2,0.242619,2.5,-9.278987,32.4,0.001600,2.0,-0.355754,91.2,Cc1cc2N=C(Nc2c(c1C)N(=O)=O)C1=Nc2cc(C)c(C)c(c2N1)N(=O)=O,"[4, 15]",[]
2,0.278356,2.9,-2.916351,61.3,0.039687,41.7,-1.601156,62.3,N=C(c1ccccc1)C1=C([O-])c2ccccc2OC1=O,"[10, 0]",[]
2,0.380136,3.9,-6.488847,41.7,0.044110,45.1,-2.256407,52.0,CC1=NC(=CN1)C=NC1CCCCC1N,"[2, 7, 14]","[{'functional_group': 'carboxyllic_acid', 'smiles_inds': [13]}, {'functional_group': 'ether', 'smiles_inds': [0]}]"
2,0.399951,4.4,-6.077901,42.6,0.167541,72.5,-6.768121,13.7,[S-]C(C#N)=C(SC(C#N)=C([S-])C#N)C#N,"[0, 5, 10]",[]
2,0.781286,6.4,-6.327742,41.7,0.035140,39.2,-4.328542,29.4,CC1=NC(=CN1)C=NCC(CO)(CN=CC1=CNC(=N1)C)CN=CC1=CNC(=N1)C,"[7, 2, 13, 19, 22, 28]",[]
2,1.108206,6.9,-5.769697,43.6,0.018135,25.5,-0.843029,77.5,CN1c2ccccc2N=C1c1ncccn1,"[8, 11]","[{'functional_group': 'trifluro', 'smiles_inds': [6]}]"
2,1.228031,7.4,-7.050082,39.7,5.425388,100.0,-0.429757,88.7,CN(CCN)CCN,"[4, 1, 7]",[]
2,1.236492,8.3,-2.317456,68.6,0.483724,88.7,-11.133808,2.5,O=C1c2ccccc2C(=O)c2c(cccc12)[N-]Cc1ccccn1,"[23, 9, 16]","[{'functional_group': 'carboxyllic_acid', 'smiles_inds': [22]}, {'functional_group': 'chloro', 'smiles_inds': [13]}, {'functional_group': 'carboxyllic_acid', 'smiles_inds': [12]}]"
2,1.299434,8.8,-2.468262,67.6,0.003365,4.4,-2.944266,40.2,c1ccc(nc1)C1=NN=C[N-]1,"[4, 10]",[]
2,1.326617,9.3,-2.699208,65.7,0.095422,62.3,-7.047205,12.7,Cc1ncc(CO)c(C=NCN(CN=Cc2c(CO)cnc(C)c2[O-])CN=Cc2c(CO)cnc(C)c2[O-])c1[O-],"[39, 9, 37, 26, 24, 13]","[{'functional_group': 'amino', 'smiles_inds': [35]}]"
2,1.591722,9.8,-5.932224,43.6,0.029078,34.8,-0.403330,88.7,Cc1ccc(cc1)N=NC1=NC=CN1,"[10, 7]","[{'functional_group': 'amide', 'smiles_inds': [0]}]"
2,1.671939,10.8,-6.538844,41.7,0.104956,64.7,-2.313868,51.0,CC(C)(C)CC1=CC(=NN1)c1cccc(n1)C1=NNC(=C1)CC(C)(C)C,"[8, 15, 17]","[{'functional_group': '2-methylbenzoic_acid', 'smiles_inds': [18]}]"
2,1.696438,11.8,-10.745211,27.0,0.011819,18.6,-3.811590,30.9,O=N(=O)C1=CC=C(S1)C1=CC=C(S1)C#N,[14],[]
2,1.782917,12.3,-5.866588,43.6,0.005511,9.8,-0.915232,76.0,N1c2ccccc2c2ccnc(C3=Nc4ccccc4S3)c12,"[13, 10]","[{'functional_group': 'ethyl_ester', 'smiles_inds': [2]}, {'functional_group': 'tribromo', 'smiles_inds': [5]}]"
2,1.961467,13.2,-2.505272,67.2,0.032954,37.7,-7.761293,10.3,O=Cc1ccc(C=NC2CCCCC2)[c-]c1,"[7, 14]",[]
2,2.153833,14.2,-10.764141,27.0,0.011538,18.1,-2.455551,49.0,CN1C(=C(N)C(=O)N(C)C1=O)N,"[11, 4]","[{'functional_group': 'trifluro', 'smiles_inds': [0]}]"
2,2.319572,15.2,-6.131517,42.2,0.107044,64.7,-4.403020,28.4,S=C(NCCc1ccccc1)NN=Cc1ccccn1,"[0, 19, 12]","[{'functional_group': 'phenyl', 'smiles_inds': [11]}]"
2,2.870561,16.2,-1.681463,79.9,0.291708,77.5,-8.637019,10.3,CCCNCCN=Cc1c([O-])ccc2ccccc12,"[10, 6, 3]","[{'functional_group': 'fluoro', 'smiles_inds': [16]}, {'functional_group': 'ethyl', 'smiles_inds': [1]}, {'functional_group': 'cyanimide', 'smiles_inds': [17]}]"
2,3.265212,17.6,-2.329460,68.6,0.013326,19.1,-4.620309,27.0,CC(N)c1cccc[c-]1,"[2, 8]",[]
2,3.344142,18.1,-30.222870,1.5,0.036769,40.2,-3.251027,35.3,NC1=NC2=[NH+]CCN=C2C(=O)N1,"[10, 7]","[{'functional_group': 'carboxyl', 'smiles_inds': [0]}]"
2,3.499803,19.1,-6.103124,42.6,0.306866,78.9,-8.490472,10.3,CN(C)C([S-])=NN=Cc1cc(I)cc(I)c1[O-],"[4, 6, 16]",[]
2,3.930392,20.6,-5.736298,43.6,0.074873,58.8,-11.305167,2.5,c1ccc(nc1)c1cc(cc(n1)c1ccccn1)c1ccc(cc1)c1cc(nc(c1)c1ccccn1)c1ccccn1,"[17, 11, 4]","[{'functional_group': 'ethyl_ester', 'smiles_inds': [20]}]"
2,4.659037,23.0,-7.440364,38.2,0.000477,0.0,-0.053749,99.5,CN1C(=CN=C1C1=NC=C(C=O)N1C)C=O,"[7, 4]",[]
2,5.021782,25.0,-6.130649,42.2,0.010223,15.2,-2.071449,55.9,CNC(=S)NN=CC1=CNC(=N1)C,"[3, 11, 5]","[{'functional_group': 'carbonyl', 'smiles_inds': [1]}]"
2,5.428985,27.0,-3.363078,58.3,0.018242,25.5,-4.239107,29.4,O=C([O-])c1ncccc1OC(=O)C1CC2CC1C=C2,"[2, 4]",[]
2,5.500658,27.9,-10.936374,26.0,0.572389,91.7,-4.770531,25.0,O=C1NC=NN1,[4],[]
2,7.290981,37.3,-5.754402,43.6,0.005849,9.8,-1.794688,59.3,Cc1cnc(cc1C)c1ccccn1,"[13, 3]",[]
2,7.365579,37.7,-6.480201,41.7,0.109342,64.7,-10.347048,6.4,CCN(CC)c1ccc(C=Nc2cc(ccc2[O-])N(=O)=O)c([O-])c1,"[17, 10, 22]","[{'functional_group': 'amide', 'smiles_inds': [12]}]"
2,7.770538,39.7,-5.912090,43.6,0.000548,0.0,-3.537761,33.8,Oc1ccccc1c1ccnc(c1)c1ccccn1,"[18, 10]",[]
2,8.002926,41.2,-2.870603,61.8,0.005933,9.8,-8.748732,9.3,Fc1c(F)c(F)c(c(F)c1F)C1=N[N-]C(=N1)c1ccccn1,"[21, 13]","[{'functional_group': 'tribromo', 'smiles_inds': [20]}]"
2,8.002926,41.2,-2.870603,61.8,0.005933,9.8,-8.748732,9.3,Fc1c(F)c(F)c(c(F)c1F)C1=N[N-]C(=N1)c1ccccn1,"[21, 13]","[{'functional_group': 'bromo', 'smiles_inds': [18]}, {'functional_group': 'carboxylate', 'smiles_inds': [17]}]"
2,8.002926,41.2,-2.870603,61.8,0.005933,9.8,-8.748732,9.3,Fc1c(F)c(F)c(c(F)c1F)C1=N[N-]C(=N1)c1ccccn1,"[21, 13]","[{'functional_group': 'tribromo', 'smiles_inds': [20]}, {'functional_group': 'bromo', 'smiles_inds': [17]}, {'functional_group': 'ketone', 'smiles_inds': [19]}, {'functional_group': 'iodo', 'smiles_inds': [18]}]"
2,8.002926,41.2,-2.870603,61.8,0.005933,9.8,-8.748732,9.3,Fc1c(F)c(F)c(c(F)c1F)C1=N[N-]C(=N1)c1ccccn1,"[21, 13]","[{'functional_group': 'tribromo', 'smiles_inds': [20]}, {'functional_group': 'ethyl', 'smiles_inds': [17]}, {'functional_group': 'bromo', 'smiles_inds': [18]}]"
2,8.002926,41.2,-2.870603,61.8,0.005933,9.8,-8.748732,9.3,Fc1c(F)c(F)c(c(F)c1F)C1=N[N-]C(=N1)c1ccccn1,"[21, 13]","[{'functional_group': 'tribromo', 'smiles_inds': [20]}, {'functional_group': 'phosphonate', 'smiles_inds': [17]}, {'functional_group': 'carboxylate', 'smiles_inds': [19]}]"
2,8.290331,44.6,-3.772841,53.9,0.001163,2.0,-3.584890,32.8,Nc1nc([S-])c2N=CNc2n1,"[4, 6]",[]
2,8.408067,46.1,-6.043979,42.6,0.009609,15.2,-1.653724,61.3,c1ccc(cc1)c1cccnn1,[10],"[{'functional_group': 'fluoro', 'smiles_inds': [9]}, {'functional_group': 'bromo', 'smiles_inds': [1]}]"
2,8.594132,46.6,-6.315336,41.7,0.005111,7.4,-22.450081,0.5,OCc1ccc(cn1)c1ccc(cc1)C(=O)[O-],"[0, 7]",[]
2,14.713784,66.7,-6.480386,41.7,0.116096,65.2,-8.117469,10.3,CN1C=CC(=C([O-])C1=O)C(=O)NCCCCCCNC(=O)c1ccc(C(=O)NCCCCCCNC(=O)C2=C([O-])C(=O)N(C)C=C2)c([O-])c1[O-],"[8, 6, 49, 47, 39, 41]","[{'functional_group': 'phenyl', 'smiles_inds': [14]}]"
2,15.494202,69.6,-11.188382,25.0,0.105380,64.7,-5.231998,21.6,CC1=C(C(=NN1)C)N(=O)=O,[4],[]
2,20.854479,80.4,-7.111183,39.2,0.010227,15.2,-6.678875,14.2,CCCN1c2ccc(cc2N=C2C(=O)N(C)C(=O)N=C12)C(O)=O,"[10, 13]","[{'functional_group': 'carboxyl', 'smiles_inds': [5]}, {'functional_group': 'fluoro', 'smiles_inds': [0]}, {'functional_group': '2-hydroxypyridine', 'smiles_inds': [8]}]"
2,21.455213,81.4,-7.111318,39.2,0.206470,76.0,-6.264316,15.7,CN1C=CN=C1CN(CC1=NC=CN1C)S(C)(=O)=O,"[4, 10, 7]",[]
2,26.134691,89.2,-3.318816,58.3,0.004495,7.4,-7.219097,12.3,O1C(=NN=C1c1ccc([c-]c1)c1ccccn1)c1ccccc1,"[9, 16]","[{'functional_group': 'methyl', 'smiles_inds': [18]}, {'functional_group': 'ether', 'smiles_inds': [13]}]"
3,0.001979,0.0,-1.239367,87.3,0.674861,93.3,-4.981966,24.2,CC(=NN=C([O-])c1ccc(Cl)cc1)c1ccccn1,"[18, 2, 5]",[]
3,0.004499,0.4,-5.993636,42.1,0.732184,93.7,-2.688255,46.8,CSCCC1=CNC(=N1)CC1=NC=CN1,"[1, 8, 11]",[]
3,0.099537,0.8,-2.106378,69.8,0.022454,30.2,-3.834332,32.5,C1CN=C(CN2[C-]=Cc3ccccc23)O1,"[6, 2]",[]
3,0.124234,1.2,-2.618486,65.5,0.027975,35.3,-3.358784,37.7,COc1cc(F)c(c(F)c1)c1cccc(n1)C(N(Cc1ccccn1)Cc1ccccn1)c1cccc(n1)c1c(F)cc(OC)cc1[O-],"[24, 17, 31, 37, 15, 47]","[{'functional_group': 'phenyl', 'smiles_inds': [28]}]"
3,0.154897,1.6,-5.847674,42.9,0.010464,15.9,-0.660264,84.5,CN1C=CN=C1C=NCC(C)(CN=CC1=NC=CN1C)CN=CC1=NC=CN1C,"[7, 21, 4, 24, 12, 15]","[{'functional_group': 'carboxylate', 'smiles_inds': [10]}]"
3,0.190964,2.0,-6.885441,39.3,0.124436,68.7,-2.163047,55.6,NC(=NN1C(Nc2ccccc2C1=O)C1=NC=CN1)c1cc(ccn1)c1ccccc1,"[24, 2, 15]","[{'functional_group': 'ketone', 'smiles_inds': [29]}, {'functional_group': 'ethyl', 'smiles_inds': [22]}]"
3,0.242619,2.4,-9.278987,31.3,0.001600,1.6,-0.355754,91.7,Cc1cc2N=C(Nc2c(c1C)N(=O)=O)C1=Nc2cc(C)c(C)c(c2N1)N(=O)=O,"[4, 15]",[]
3,0.278356,2.8,-2.916351,60.7,0.039687,43.3,-1.601156,63.5,N=C(c1ccccc1)C1=C([O-])c2ccccc2OC1=O,"[10, 0]",[]
3,0.380136,3.6,-6.488847,40.5,0.044110,46.8,-2.256407,54.4,CC1=NC(=CN1)C=NC1CCCCC1N,"[2, 7, 14]","[{'functional_group': 'carboxyllic_acid', 'smiles_inds': [13]}, {'functional_group': 'ether', 'smiles_inds': [0]}]"
3,0.399951,4.0,-6.077901,42.1,0.167541,75.0,-6.768121,15.1,[S-]C(C#N)=C(SC(C#N)=C([S-])C#N)C#N,"[0, 5, 10]",[]
3,0.781286,5.6,-6.327742,41.3,0.035140,40.9,-4.328542,31.3,CC1=NC(=CN1)C=NCC(CO)(CN=CC1=CNC(=N1)C)CN=CC1=CNC(=N1)C,"[7, 2, 13, 19, 22, 28]",[]
