generation,section,smiles,coordList,functionalization,success_prob
0,bottom,COCC1OC2OC3C(COC)OC(OC4C(COC)OC(OC5C(COC)OC(OC6C(COC)OC(OC7C(COC)OC(OC8C(COC)OC(OC1C(OC)C2OC)C(OC)C8OC)C(OC)C7OC)C(OC)C6OCc1cncc(COC2C(OC)C6OC(COC)C2OC2OC(COC)C(OC7OC(COC)C(OC8OC(COC)C(OC9OC(COC)C(OC%10OC(COC)C(OC%11OC(COC)C(O6)C(OC)C%11OC)C(OC)C%10OC)C(OC)C9OC)C(OC)C8OC)C(OC)C7OC)C(OC)C2OC)c1)C(OC)C5OC)C(OC)C4OC)C(OC)C3OC,[82],"[{'functional_group': 'chloro', 'smiles_inds': [51]}]",1.3352996436228655e-35
0,bottom,COCC1OC2OC3C(COC)OC(OC4C(COC)OC(OC5C6CP(c7ccccc7)c7ccccc7P(CC7OC(OC8C(COC)OC(OC9C(COC)OC(OC1C(OC)C2OC)C(OC)C9OC)C(OC)C8OC)C(OC)C(OC)C7OC(O6)C(OC)C5OC)c1ccccc1)C(OC)C4OC)C(OC)C3OC,"[39, 26]","[{'functional_group': 'carboxyllic_acid', 'smiles_inds': [21]}]",3.924329987244252e-18
0,bottom,COCC1OC2OC3C(COC)OC(OC4C(COC)OC(OC5C6CP(CC7OC(OC8C(COC)OC(OC9C(COC)OC(OC1C(OC)C2OC)C(OC)C9OC)C(OC)C8OC)C(OC)C(OC)C7OC(O6)C(OC)C5OC)c1ccccc1)C(OC)C4OC)C(OC)C3OC,[26],[],5.382415248962095e-17
0,bottom,Cc1cc(C(c2ccc(cc2)C2CCCCC2)c2ccc(cc2)C2CCCCC2)c(N=C(C)C(C)=Nc2c(cc(C)cc2C(c2ccc(cc2)C2CCCCC2)c2ccc(cc2)C2CCCCC2)C(c2ccc(cc2)C2CCCCC2)c2ccc(cc2)C2CCCCC2)c(c1)C(c1ccc(cc1)C1CCCCC1)c1ccc(cc1)C1CCCCC1,"[30, 35]",[],2.512602767273653e-16
0,bottom,COCC1OC2OC3C(COC)OC(OC4C(CP(c5ccccc5)c5ccccc5)OC(OC5C(COC)OC(OC6C(COC)OC(OC7C(CP(c8ccccc8)c8ccccc8)OC(OC1C(OC)C2OC)C(OC)C7OC)C(OC)C6OC)C(OC)C5OC)C(OC)C4OC)C(OC)C3OC,"[18, 53]","[{'functional_group': 'hydroxyl', 'smiles_inds': [26]}]",4.162688738474757e-16
0,bottom,O=C1N2CN3C(=O)N4CN5C(=O)N6CN7C(=O)N8CN9C(=O)N%10CN%11C(=O)N%12CN1C1%13CCCCC21N1CN2C(=O)N(CN%14C(=O)N(CN%15C(=O)N(CN%16C(=O)N(CN%17C(=O)N(CN%13C1=O)C1%12CCCCC%11%171)C1%10CCCCC9%161)C18CCCCC7%151)C16CCCCC5%141)C14CCCCC321,"[26, 0, 6]","[{'functional_group': 'aldehyde', 'smiles_inds': [31]}]",1.5836478482621777e-15
0,bottom,O=C1N2CN3C(=O)N4CN5C(=O)N6CN7C(=O)N8CN9C(=O)N%10CN%11C(=O)N%12CN1C1%13CCCCC21N1CN2C(=O)N(CN%14C(=O)N(CN%15C(=O)N(CN%16C(=O)N(CN%17C(=O)N(CN%13C1=O)C1%12CCCCC%11%171)C1%10CCCCC9%161)C18CCCCC7%151)C16CCCCC5%141)C14CCCCC321,"[26, 0, 6]","[{'functional_group': 'carboxylate', 'smiles_inds': [3]}]",2.9169299820927544e-15
0,bottom,COCC1OC2OC3C(COC)OC(OC4C5CP(CC6OC(OC7C(COC)OC(OC8C(COC)OC(OC1C(OC)C2OC)C(OC)C8OC)C(OC)C7OC)C(OC)C(OC)C6OC(O5)C(OC)C4OC)c1ccccc1N(C)C)C(OC)C3OC,"[81, 18]","[{'functional_group': 'trifluro', 'smiles_inds': [16]}]",8.005112098153808e-15
0,bottom,CC(C)COc1cc(nc2nc(NC(=O)c3cc(OCC(C)C)c4ccc(NC(=O)c5ccc(nn5)c5cccc(n5)c5ccc(nn5)C(=O)Nc5ccc6c(OCC(C)C)cc(nc6n5)C(=O)Nc5ccc6c(OCC(C)C)cc(nc6n5)C(=O)Nc5cccc(NC(=O)c6cc(OCC(C)C)c7cccc(NC(=O)c8cc(OCC(C)C)c9cccc(NC(=O)c%10cc(OCC(C)C)c%11cccc(c%11n%10)N(=O)=O)c9n8)c7n6)n5)nc4n3)ccc12)C(=O)Nc1cccc(NC(=O)c2cc(OCC(C)C)c3cccc(NC(=O)c4cc(OCC(C)C)c5cccc(NC(=O)c6cc(OCC(C)C)c7cccc(c7n6)N(=O)=O)c5n4)c3n2)n1,"[47, 41, 34]",[],9.87268176574011e-15
0,bottom,COCC1OC2OC3C(COC)OC(OC4C5CN(CC6OC(OC7C(COC)OC(OC8C(COC)OC(OC1C(OC)C2OC)C(OC)C8OC)C(OC)C7OC)C(OC)C(OC)C6OC(O5)C(OC)C4OC)Cc1ccccn1)C(OC)C3OC,"[81, 18]","[{'functional_group': 'ethyl', 'smiles_inds': [28]}]",5.5884416869150383e-14
