generation,sco_kcal,sco_kcal_percentile,octanol_gsolv_eV,octanol_gsolv_eV_percentile,octanol_hl_gap_eV,octanol_hl_gap_eV_percentile,octanol_dipole,octanol_dipole_percentile,SMILES,coordList,functionalization
1,0.099537,0.0,-2.106378,69.6,0.022454,28.2,-3.834332,26.0,C1CN=C(CN2[C-]=Cc3ccccc23)O1,"[6, 2]",[]
1,0.251256,1.1,-6.101702,40.9,0.282035,80.1,-3.806364,26.0,S=C(NCCc1ccccc1)NN=Cc1ccccn1,"[0, 19, 12]","[{'functional_group': 'trifluro', 'smiles_inds': [3]}]"
1,0.341853,1.7,-6.622750,38.1,0.009808,12.7,-3.316491,29.8,Oc1ccc(cc1C(=NN=Cc1cc(ccc1[O-])N(=O)=O)[N-]N(c1cccc(Cl)n1)c1cccc(Cl)n1)N(=O)=O,"[17, 21, 9]",[]
1,0.804103,5.5,-2.335976,66.9,0.011504,13.8,-4.645186,20.4,CC(N)c1cccc[c-]1,"[2, 8]",[]
1,0.924382,6.1,-3.698645,54.7,0.061308,53.6,-10.354235,3.3,CN1C(=O)C(=C([O-])c2ccccc12)N=Nc1ccc(cc1)N(=O)=O,"[6, 14]",[]
1,1.236492,8.3,-2.317456,67.4,0.483724,90.6,-11.133808,2.8,O=C1c2ccccc2C(=O)c2c(cccc12)[N-]Cc1ccccn1,"[23, 9, 16]","[{'functional_group': 'tribromo', 'smiles_inds': [12]}]"
1,1.299434,8.8,-2.468262,65.2,0.003365,2.2,-2.944266,33.1,c1ccc(nc1)C1=NN=C[N-]1,"[4, 10]",[]
1,1.782917,9.9,-5.866588,43.1,0.005511,6.1,-0.915232,73.5,N1c2ccccc2c2ccnc(C3=Nc4ccccc4S3)c12,"[13, 10]","[{'functional_group': 'ketone', 'smiles_inds': [16]}, {'functional_group': 'cyanimide', 'smiles_inds': [5]}]"
1,1.928193,10.5,-3.882506,52.5,0.002157,0.6,-0.354301,91.2,CC(C)Oc1ccc2[N-]c3c4ncccc4c4C(=O)NC(=O)c4c3c2c1,"[11, 8]",[]
1,2.209507,12.7,-10.618648,24.3,0.024566,29.3,-2.352875,44.2,CN1C(=C(N)C(=O)N(C)C1=O)N,"[11, 4]","[{'functional_group': '2-methylbenzoic_acid', 'smiles_inds': [8]}]"
1,2.757927,14.9,-5.647656,43.6,0.740021,96.1,-3.945038,25.4,[O-]C(=NN=C(c1ccccc1)c1ccccn1)c1cc[nH+]cc1,"[0, 3, 16]","[{'functional_group': 'cyanimide', 'smiles_inds': [20]}, {'functional_group': 'carboxylate', 'smiles_inds': [12]}, {'functional_group': 'phenyl', 'smiles_inds': [22]}]"
1,2.910191,15.5,-30.228070,2.2,0.037073,38.7,-3.261378,30.4,NC1=NC2=[NH+]CCN=C2C(=O)N1,"[10, 7]","[{'functional_group': 'cyanimide', 'smiles_inds': [0]}]"
1,3.012279,16.0,-5.814885,43.1,0.298642,80.7,-4.029299,25.4,CC(C)CN1C=NC=N1,[6],[]
1,3.884777,19.9,-6.102293,40.9,0.304129,80.7,-8.500304,6.6,CN(C)C([S-])=NN=Cc1cc(I)cc(I)c1[O-],"[4, 6, 16]",[]
1,4.249222,22.1,-6.429758,38.7,1.158906,98.9,-4.046732,25.4,CSC(N)=NN=Cc1c([O-])c(C)[nH+]cc1CO,"[9, 5, 3]","[{'functional_group': 'methyl_ester', 'smiles_inds': [6]}, {'functional_group': '2-methylbenzoic_acid', 'smiles_inds': [15]}]"
1,4.338906,22.7,-6.740987,38.1,0.019402,25.4,-1.544435,58.6,CC(=NN)C1=NC=CS1,"[2, 5]",[]
1,4.520112,23.8,-25.474016,2.2,0.009236,12.2,-12.825096,2.2,[NH3+]CCNC(=O)c1ccnc(c1)c1cc(C)ccn1,"[18, 9]",[]
1,5.132118,26.0,-6.122653,40.9,0.008013,9.9,-1.912394,52.5,CNC(=S)NN=CC1=CNC(=N1)C,"[3, 11, 5]","[{'functional_group': 'carboxylate', 'smiles_inds': [0]}]"
1,7.290981,41.4,-5.754402,43.1,0.005849,7.2,-1.794688,55.2,Cc1cnc(cc1C)c1ccccn1,"[13, 3]",[]
1,7.770538,43.1,-5.912090,42.5,0.000548,0.0,-3.537761,28.7,Oc1ccccc1c1ccnc(c1)c1ccccn1,"[18, 10]",[]
1,8.002926,44.2,-2.870603,60.8,0.005933,7.2,-8.748732,6.1,Fc1c(F)c(F)c(c(F)c1F)C1=N[N-]C(=N1)c1ccccn1,"[21, 13]","[{'functional_group': 'cyanimide', 'smiles_inds': [20]}]"
1,8.867122,49.2,-6.041727,41.4,0.007050,8.8,-1.631025,57.5,c1ccc(cc1)c1cccnn1,[10],"[{'functional_group': 'cyanimide', 'smiles_inds': [0]}]"
1,9.191596,49.7,-6.304954,39.2,0.007378,9.4,-22.416472,0.6,OCc1ccc(cn1)c1ccc(cc1)C(=O)[O-],"[0, 7]",[]
1,26.134691,86.7,-3.318816,58.0,0.004495,5.0,-7.219097,8.3,O1C(=NN=C1c1ccc([c-]c1)c1ccccn1)c1ccccc1,"[9, 16]","[{'functional_group': 'aldehyde', 'smiles_inds': [21]}, {'functional_group': 'phosphonate', 'smiles_inds': [22]}]"
2,0.020417,0.0,-5.954090,44.3,0.026297,35.6,-1.780152,58.5,C1OC(=NC1c1ccccc1)c1ccccn1,"[16, 3]",[]
