generation,section,smiles,coordList,functionalization,success_prob
0,bottom,C[Si](C)(C)c1cc(cc(c1)[Si](C#CP(C#C[Si](c1cc(cc(c1)[Si](C)(C)C)[Si](C)(C)C)(c1cc(cc(c1)[Si](C)(C)C)[Si](C)(C)C)c1cc(cc(c1)[Si](C)(C)C)[Si](C)(C)C)C#C[Si](c1cc(cc(c1)[Si](C)(C)C)[Si](C)(C)C)(c1cc(cc(c1)[Si](C)(C)C)[Si](C)(C)C)c1cc(cc(c1)[Si](C)(C)C)[Si](C)(C)C)(c1cc(cc(c1)[Si](C)(C)C)[Si](C)(C)C)c1cc(cc(c1)[Si](C)(C)C)[Si](C)(C)C)[Si](C)(C)C,[13],"[{'functional_group': 'thiol', 'smiles_inds': [98]}]",1.127016941487072e-19
0,bottom,CP(CCP(C)c1c(cc(cc1C([Si](C)(C)C)[Si](C)(C)C)C([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C)C([Si](C)(C)C)[Si](C)(C)C)c1c(cc(cc1C([Si](C)(C)C)[Si](C)(C)C)C([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C)C([Si-](C)C)[Si](C)(C)C,"[4, 72, 1]",[],3.840457706536839e-15
0,bottom,C[Si](C)(C)C(c1cc(C([Si](C)(C)C)[Si](C)(C)C)c(Sc2ccccc2Sc2ccccc2Sc2ccccc2Sc2c(cc(cc2C([Si](C)(C)C)[Si](C)(C)C)C([Si](C)(C)C)[Si](C)(C)C)C([Si](C)(C)C)[Si](C)(C)C)c(c1)C([Si](C)(C)C)[Si](C)(C)C)[Si](C)(C)C,"[25, 32]","[{'functional_group': 'chloro', 'smiles_inds': [74]}, {'functional_group': 'carbonyl', 'smiles_inds': [16]}, {'functional_group': 'trifluro', 'smiles_inds': [61]}]",7.308466086864376e-14
0,bottom,C[Si](C)(C)C(c1cc(C([Si](C)(C)C)[Si](C)(C)C)c(Sc2ccccc2Sc2ccccc2Sc2ccccc2Sc2c(cc(cc2C([Si](C)(C)C)[Si](C)(C)C)C([Si](C)(C)C)[Si](C)(C)C)C([Si](C)(C)C)[Si](C)(C)C)c(c1)C([Si](C)(C)C)[Si](C)(C)C)[Si](C)(C)C,"[25, 32]","[{'functional_group': '2-hydroxypyridine', 'smiles_inds': [2]}]",7.343131006083933e-14
0,bottom,C[Si](C)(C)C(c1cc(C([Si](C)(C)C)[Si](C)(C)C)c([Se]c2ccccc2Sc2ccccc2Sc2ccccc2[Se]c2c(cc(cc2C([Si](C)(C)C)[Si](C)(C)C)C([Si](C)(C)C)[Si](C)(C)C)C([Si](C)(C)C)[Si](C)(C)C)c(c1)C([Si](C)(C)C)[Si](C)(C)C)[Si](C)(C)C,"[25, 32]","[{'functional_group': 'ether', 'smiles_inds': [54]}, {'functional_group': 'bromo', 'smiles_inds': [21]}]",1.5511154863889436e-13
0,bottom,CCCC[P](CCCC)(CCCC)CCP(CCP(CCP(CC[P](CCCC)(CCCC)CCCC)CC[P](CCCC)(CCCC)CCCC)c1ccccc1)CC[P](CCCC)(CCCC)CCCC,"[15, 18, 21]","[{'functional_group': 'iodo', 'smiles_inds': [70]}]",3.542127965421001e-13
0,bottom,C[Si](C)(C)C(c1cc(C([Si](C)(C)C)[Si](C)(C)C)c([Se]c2ccccc2[Se]c2ccccc2[Se]c2ccccc2[Se]c2c(cc(cc2C([Si](C)(C)C)[Si](C)(C)C)C([Si](C)(C)C)[Si](C)(C)C)C([Si](C)(C)C)[Si](C)(C)C)c(c1)C([Si](C)(C)C)[Si](C)(C)C)[Si](C)(C)C,"[25, 32]","[{'functional_group': 'bromo', 'smiles_inds': [49]}]",4.4979969396724127e-13
0,bottom,COCC1OC2OC3C(COC)OC(OC4C(COC)OC(OC5C(COC)OC(OC6C(COC)OC(OC7C(COC)OC(OC8C(COC)OC(OC1C(OC)C2OC)C(OC)C8OC)C(OC)C7OC)C(OC)C6OCc1cncc(COC2C(OC)C6OC(COC)C2OC2OC(COC)C(OC7OC(COC)C(OC8OC(COC)C(OC9OC(COC)C(OC%10OC(COC)C(OC%11OC(COC)C(O6)C(OC)C%11OC)C(OC)C%10OC)C(OC)C9OC)C(OC)C8OC)C(OC)C7OC)C(OC)C2OC)c1)C(OC)C5OC)C(OC)C4OC)C(OC)C3OC,[82],"[{'functional_group': 'bromo', 'smiles_inds': [187]}]",1.959356526670208e-12
0,bottom,C[Si](C)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1ccc(cc1)P(CCP(c1ccc(cc1)[Si](C)(C)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1ccc(cc1)[Si](C)(C)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1ccc(cc1)[Si](C)(C)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"[30, 33]",[],7.343756445878744e-11
0,bottom,CC(C)(C)c1cc2c3cc(cc4c5cc(cc6c7cc(cc8c9cc(cc%10c%11cc(cc%12c(c1)c2c1c(c34)c(c56)c(c78)c(c9%10)c1c%11%12)C(C)(C)C)C(C)(C)C)C(C)(C)C)C(C)(C)C)P(c1cc2c3cc(cc4c5cc(cc6c7cc(cc8c9cc(cc%10c%11cc(cc%12c(c1)c2c1c(c34)c(c56)c(c78)c(c9%10)c1c%11%12)C(C)(C)C)C(C)(C)C)C(C)(C)C)C(C)(C)C)C(C)(C)C)c1cc2c3cc(cc4c5cc(cc6c7cc(cc8c9cc(cc%10c%11cc(cc%12c(c1)c2c1c(c34)c(c56)c(c78)c(c9%10)c1c%11%12)C(C)(C)C)C(C)(C)C)C(C)(C)C)C(C)(C)C)C(C)(C)C,[62],[],1.9261834575547754e-10
