generation,num_attempted,num_proposed,num_retained,num_selected_A,num_selected_B,num_valid,num_repeated,num_success_repeated,num_timeout,avg_time_success,avg_time_fail,ei_avg,sp_avg,ei_sel_avg,sp_sel_avg,added_points,size_pareto,num_group_A,num_group_B,num_group_C
1,500,500,500,-1,-1,178,0,0,90,956.5307894302218,252.07695241632132,0,0,0,0,45,45,500,0,0
2,56355,49884,200,-1,-1,96,0,0,26,852.1424817442894,264.86805853782556,0.4970631865928955,0,0,0,41,75,39754,4981,5149
3,55760,49899,200,-1,-1,105,0,0,20,990.7102640742347,226.50833764076233,0.31953546163249763,0,0,0,36,102,39691,5129,5079
4,55653,49905,200,-1,-1,84,0,0,15,765.0002460791951,268.280746684216,0.3810039074241058,0,0,0,33,129,39617,5202,5086
5,55726,49879,200,-1,-1,93,0,0,23,873.4243905441735,256.87320318676177,0.45702600292708356,0,0,0,30,150,39550,5293,5036
6,55696,49886,200,-1,-1,100,0,0,21,924.0840704464913,263.12605441672895,0.2512929479212605,0,0,0,26,145,39493,5420,4973
7,55720,49903,200,-1,-1,92,0,0,19,810.2404825143192,181.8802759808101,0.4947798729535299,0,0,0,37,172,39415,5445,5043
8,55768,49889,200,-1,-1,98,0,0,20,887.2219646682545,212.36068219091834,0.17441720619775902,0,0,0,35,190,39539,5371,4979
9,55568,49893,200,-1,-1,95,0,0,30,832.5589460699182,236.9875727526347,0.2090874471368729,0,0,0,45,231,39466,5415,5012
10,55738,49896,200,-1,-1,105,0,0,26,854.6170215016319,204.24433105233786,0.11539001122334455,0,0,0,37,255,39584,5341,4971
11,55691,49907,200,-1,-1,105,0,0,18,864.1997330075219,298.2239937472653,0.39546556595267196,0,0,0,39,287,39413,5528,4966
12,55842,49900,200,-1,-1,104,0,0,24,949.3331882403447,219.64555958244534,0.1413927855711423,0,0,0,34,275,39336,5496,5068
13,55881,49894,200,-1,-1,88,0,0,15,845.0687842125243,242.00119996070862,0.4317252575459975,0,0,0,33,296,39578,5514,4802
14,55895,49901,200,-1,-1,104,0,0,14,914.9835919141769,282.88833364044746,0.2727099657321497,0,0,0,40,327,39545,5411,4945
15,56127,49895,200,-1,-1,98,0,0,19,963.589685123794,267.7896520430783,0.19114139693356047,0,0,0,39,362,39518,5535,4842
16,55984,49893,200,-1,-1,96,0,0,24,963.0358219643434,276.81302659213543,0.19328362696169804,0,0,0,33,389,39612,5492,4789
17,56244,49895,200,-1,-1,105,0,0,14,897.3928518681299,267.56473778206623,0.24194809099108128,0,0,0,28,386,39538,5613,4744
18,56338,49895,200,-1,-1,101,0,0,15,933.4075334308171,236.74030029773712,0.27251227577913617,0,0,0,32,411,39585,5578,4732
19,56216,49888,200,-1,-1,94,0,0,28,907.7686180129964,259.81500100783813,0.3060154746632457,0,0,0,31,406,39616,5551,4721
20,56609,49892,200,-1,-1,93,0,0,25,946.0209255167233,220.37416072008085,0.21304016676020204,0,0,0,36,433,39613,5668,4611
21,56625,49896,200,-1,-1,96,0,0,24,834.5013130332032,317.2409393161535,0.13357784191117525,0,0,0,38,470,39706,5603,4587
22,56667,49900,200,-1,-1,88,0,0,33,889.0638323453339,223.0622989950301,0.32719438877755513,0,0,0,27,496,39755,5566,4579
23,56618,49914,200,-1,-1,104,0,0,19,927.9539949297905,245.95194943229873,0.2898485394879192,0,0,0,34,517,39792,5487,4635
24,56769,49889,200,-1,-1,95,0,0,15,712.8737621809307,265.07826365100016,0.17085930766301188,0,0,0,30,536,39901,5501,4487
25,56890,49906,200,-1,-1,106,0,0,23,842.3459776999815,310.62625802738563,0.23919969542740352,0,0,0,25,550,39801,5620,4485
26,56830,49890,200,-1,-1,99,0,0,17,821.9101372367204,260.4523828654062,0.2791240729605131,0,0,0,30,577,39818,5561,4511
27,56832,49884,200,-1,-1,89,0,0,28,882.2947313812342,223.81933601218535,0.3427952850613423,0,0,0,37,610,39682,5663,4539
28,56833,49888,200,-1,-1,90,0,0,27,899.854717347357,278.78517123590035,0.2165350384862091,0,0,0,29,638,39839,5591,4458
29,56917,49879,200,-1,-1,108,0,0,21,897.001101286323,327.3670982945133,0.19503197738527236,0,0,0,43,674,39712,5702,4465
30,56957,49910,200,-1,-1,97,0,0,15,836.0757733669477,220.66503148458222,0.2650070126227209,0,0,0,35,693,39723,5725,4462
31,56917,49895,200,-1,-1,97,0,0,16,918.9792688704028,267.7402076638978,0.13726826335304138,0,0,0,31,724,39802,5673,4420
32,57125,49890,200,-1,-1,97,0,0,30,1082.48496172846,245.9737276181783,0.1425435959110042,0,0,0,29,746,39882,5561,4447
33,57323,49899,200,-1,-1,105,0,0,16,895.9013922623226,238.67048311837112,0.46970881179983565,0,0,0,29,775,39874,5616,4409
34,57248,49884,200,-1,-1,98,0,0,20,866.1178512256972,241.53440557165843,0.35720872424023736,0,0,0,43,813,39624,5858,4402
35,57189,49891,200,-1,-1,90,0,0,26,909.041142543157,247.774393816789,0.16531037662103384,0,0,0,31,823,39877,5693,4321
36,57439,49900,200,-1,-1,103,0,0,20,905.7150973486669,219.6687299957523,0.1498496993987976,0,0,0,39,853,40137,5508,4255
37,57482,49890,200,-1,-1,111,0,0,22,814.8473044343897,243.96184761132767,0.194026859089998,0,0,0,40,888,39850,5706,4334
38,57555,49896,200,-1,-1,95,0,0,16,875.1386704921722,276.6832518095381,0.22981802148468816,0,0,0,35,908,39908,5608,4380
39,57894,49885,200,-1,-1,104,0,0,22,923.7117568758817,243.99531372173414,0.21680865991781095,0,0,0,40,935,40004,5628,4253
40,57674,49904,200,-1,-1,91,0,0,27,856.0157529547974,181.69697222477052,0.18845182750881692,0,0,0,28,962,39961,5634,4309
