-E_at,zpve,e_gap,C_v,smiles
276.8615725215859,0.034358,0.3399,6.316,N
213.08778467286905,0.021375,0.3615,6.002,O
301.8207618523302,0.016601,0.3796,6.278,C#N
358.75720647168055,0.026603,0.2263,6.413,C=O
494.01750111479487,0.015951,0.277,10.398,N#CC#N
551.9579608926433,0.02654,0.2066,11.329,O=CC#N
612.1587097960874,0.036943,0.1555,12.147,O=CC=O
427.706064952974,0.020349,0.2598,10.401,O1N=NN=N1
740.6701400456659,0.02554,0.1977,16.955,O=C(C#N)C#N
800.8564562311803,0.035739,0.1475,18.042,O=CC(=O)C#N
855.1994041942526,0.045968,0.1151,18.951,O=CC(=O)C=O
788.1136213414429,0.051463,0.1355,14.117,C1=NN=CN=N1
605.972721400758,0.025718,0.2469,13.622,O=C1ON=NO1
660.7354732020176,0.028773,0.1485,18.268,O=C1N=NON=N1
826.1494806021219,0.042699,0.1543,17.906,O=C1ON=NC=N1
1051.290467252722,0.045232,0.1169,24.735,O=CC(=O)C(=O)C#N
1108.4892108322238,0.05574,0.0983,25.564,O=CC(=O)C(=O)C=O
1577.99619189027,0.126623,0.0955,28.254,[O-]C1=COC2=C1C[NH2+]C2
1402.986937122303,0.100842,0.0825,30.327,NC=[NH+]C1=COC([O-])=N1
1599.1840492819028,0.126135,0.1035,23.509,C1=C2C3C4C1C1C2C3N41
1392.890309684677,0.101131,0.1028,23.524,O1C2C3C1C1N=C3OC21
1739.327622652112,0.157507,0.042,36.19,NC=[NH+]CCCC([O-])=O
1944.060746187344,0.192844,0.0246,37.707,[NH3+]CCCCCC([O-])=O
1324.124056460336,0.101063,0.0821,30.005,N=C1[N-]N=C(NC=[NH2+])O1
1323.458268908318,0.102277,0.0692,29.39,N=C1[N-]C(NC=[NH2+])=NO1
1324.1221739319153,0.101065,0.0821,30.002,NC=[NH+]C1=N[N-]C(=N)O1
1323.458268908318,0.102277,0.0692,29.39,NC=[NH+]C1=NOC(=N)[N-]1
1380.6130868247128,0.100759,0.0814,30.409,NC=[NH+]C1=NOC([O-])=C1
1369.2564203631482,0.100077,0.0901,29.533,NC=[NH+]C1=NOC=C1[O-]
1527.0374025207711,0.13801,0.06,31.157,[NH3+]CCC1=NOC(=N)[N-]1
1584.3672955803922,0.137086,0.0623,31.43,[NH3+]CCC1=NOC([O-])=C1
1302.9870273360866,0.07953,0.1064,23.156,O1N=CN=C2C=NC=C12
1296.7847236944945,0.078219,0.1038,24.101,O1N=NC=C2C=NC=C12
1014.611910984444,0.040766,0.1453,24.069,O=C1ON=NC(=N1)C#N
